New_Sample_ID	MDS1	MDS2	Time_Point	Ecosystem
LOT1A3	-0.01749805547041106	-0.5362036994378945	1	Shrubland
LOT1A4	-0.0500695554897756	-0.20837550225613508	1	Shrubland
LOT1A5	-0.13479360998261145	-0.10544181949042283	1	Grassland
LOT1A6	-0.16603724028113448	-0.1150165423916717	1	Grassland
LOT1A7	-0.17291359804734	-0.09433586312497134	1	Grassland
LOT1A8	-0.09276859483793652	-0.09556759376232389	1	Grassland
LOT1B1	0.5372258643088871	-0.04606607844877371	1	Shrubland
LOT1B2	0.4496437848602076	-0.31549101165848575	1	Shrubland
LOT1B5	-0.19531900419689213	-0.07624284626843433	1	Grassland
LOT1B6	-0.08226092879642555	-0.11460683683885495	1	Grassland
LOT1C2	0.314437999040416	-0.30609241739547016	1	Shrubland
LOT1C3	0.016165923681271035	-0.04418365750947359	1	Shrubland
LOT1C4	0.09912714923214888	-0.243081019624577	1	Shrubland
LOT1C5	-0.0953602660694563	-0.17536689279916617	1	Grassland
LOT1C6	-0.25782299055004576	-0.15004404908055863	1	Grassland
LOT1C8	-0.208850757638623	-0.11281407887979995	1	Grassland
LOT2A1	0.5605035940971635	0.14498592106154273	2	Shrubland
LOT2A2	0.13272794578996366	0.13210341464594785	2	Shrubland
LOT2A3	0.08268502367996823	-0.07000953490864725	2	Shrubland
LOT2A4	0.06712447532688365	-0.042792714043646166	2	Shrubland
LOT2A5	-0.11634318356943799	0.023465698953287126	2	Grassland
LOT2A6	-0.10659041682887373	-0.001601156872059955	2	Grassland
LOT2A7	-0.15626962191603957	0.11097141240184637	2	Grassland
LOT2A8	-0.1071982799255958	0.07754422883046283	2	Grassland
LOT2B2	0.2491024530136801	-0.06731729833995317	2	Shrubland
LOT2B3	0.03404975070612913	0.031484865795325875	2	Shrubland
LOT2B5	-0.09598500512869312	0.08611382158157017	2	Grassland
LOT2B8	-0.06565082031341253	0.07196109505921938	2	Grassland
LOT2C1	0.2038058966067307	0.13425510510103567	2	Shrubland
LOT2C2	0.16586522595405023	0.24724526810494432	2	Shrubland
LOT2C3	-0.01177329936792323	0.03802716226056078	2	Shrubland
LOT2C5	-0.10203259840778958	0.06081948948513127	2	Grassland
LOT2C6	-0.09874070085106035	0.09995148075349604	2	Grassland
LOT2C7	-0.13506887731081674	0.13181988574407585	2	Grassland
LOT2C8	-0.10181963312877729	0.05100681959448051	2	Grassland
LOT3A1	0.35032881438844277	0.13884211513865594	3	Shrubland
LOT3A2	-0.019400062590834134	0.1948449875951877	3	Shrubland
LOT3A3	0.06292941917888654	-0.10933894683304785	3	Shrubland
LOT3A4	0.03339554373527091	-0.01326759915766881	4	Shrubland
LOT3A5	-0.08777393785586253	-0.006373371049269989	3	Grassland
LOT3A6	-0.10447816032099973	0.005660005055253656	3	Grassland
LOT3A8	-0.1662575170088875	0.019941912145538313	3	Grassland
LOT3B1	0.36992754681553297	0.0886516934836722	3	Shrubland
LOT3B2	0.26128155758550264	0.036026868423112875	3	Shrubland
LOT3B3	-0.0026571660361226924	0.03588479357811582	3	Shrubland
LOT3B4	-0.07761780065250175	-0.006403695592256406	3	Shrubland
LOT3B5	-0.08800664510430857	0.019631748066746908	3	Grassland
LOT3B7	-0.08092187750027036	0.05497149278193938	3	Grassland
LOT3B8	-0.08924288994490691	0.04671762403906272	3	Grassland
LOT3C1	0.037656985713504176	0.15534071078460768	3	Shrubland
LOT3C2	0.16715362277671295	0.03219267736684252	3	Shrubland
LOT3C3	-0.02867913032115443	0.05324332128673736	3	Shrubland
LOT3C5	-0.06936473892555942	0.030164093169616664	3	Grassland
LOT3C6	-0.07789478056179669	0.03963557240674252	3	Grassland
LOT3C7	-0.18813064503710178	0.13313401139600706	3	Grassland
LOT3C8	-0.08179985558501363	-0.00124392697567069	3	Grassland
LOT4A1	0.1749816585855349	0.06700292131432509	4	Shrubland
LOT4A3	0.1280676304024471	-0.32442638829909526	4	Shrubland
LOT4A5	-0.13093593857265476	0.007688592808196799	4	Grassland
LOT4A7	-0.06343194687105033	0.02318483906478526	4	Grassland
LOT4A8	-0.1194767809652082	0.02730655675982028	4	Grassland
LOT4B1	0.26730656427725824	0.12215635491290516	4	Shrubland
LOT4B3	-0.024612117673961514	0.021409455889730217	4	Shrubland
LOT4B4	-0.07336009412123097	0.010417122726284233	4	Shrubland
LOT4B5	-0.1361080316811188	0.05962667644477703	4	Grassland
LOT4B6	-0.05662159049786813	0.02676195852962289	4	Grassland
LOT4B7	-0.09681272506960333	0.018337786878304705	4	Grassland
LOT4B8	-0.28615474654708156	0.04158787575679794	4	Grassland
LOT4C1	0.1982531189671712	0.1677183864786321	4	Shrubland
LOT4C2	0.10062111928329638	0.05657380279741377	4	Shrubland
LOT4C3	0.031536845431430975	0.04986995093417142	4	Shrubland
LOT4C4	-0.1290875250306688	0.04832335563596028	4	Shrubland
LOT4C5	-0.07086731555003185	0.05846838780290671	4	Grassland
LOT4C7	-0.09272334537066573	0.06451081596261737	4	Grassland
LOT4C8	-0.08232110993295581	-0.015879595749688172	4	Grassland
