SampleID	EnvG_T2R1	EnvG_T2R2	EnvG_T2R3	EnvG_T2R4	EnvG_T2R5	EnvG_T2R6	EnvS_T2R1	EnvS_T2R2	EnvS_T2R3	EnvS_T2R4	EnvS_T2R5	EnvS_T2R6	LOT1A3	LOT1A6	LOT1A7	LOT1A8	LOT1B2	LOT1B4	LOT1B5	LOT1B6	LOT1C1	LOT1C2	LOT1C4	LOT1C5	LOT1C6	LOT1C8	LOT2A1	LOT2A2	LOT2A3	LOT2A4	LOT2A5	LOT2A6	LOT2A7	LOT2A8	LOT2B2	LOT2B3	LOT2B5	LOT2B6	LOT2B8	LOT2C1	LOT2C2	LOT2C3	LOT2C5	LOT2C6	LOT2C7	LOT2C8	LOT3A1	LOT3A2	LOT3A3	LOT3A4	LOT3A5	LOT3A6	LOT3A7	LOT3A8	LOT3B1	LOT3B2	LOT3B3	LOT3B4	LOT3B5	LOT3B6	LOT3B7	LOT3B8	LOT3C1	LOT3C2	LOT3C3	LOT3C4	LOT3C5	LOT3C6	LOT3C7	LOT3C8	LOT4A3	LOT4A4	LOT4A5	LOT4A7	LOT4B1	LOT4B3	LOT4B4	LOT4B5	LOT4B6	LOT4B7	LOT4C1	LOT4C2	LOT4C3	LOT4C4	LOT4C5	LOT4C7	LOT4C8	Soil_T2R1	Soil_T2R10	Soil_T2R11	Soil_T2R12	Soil_T2R2	Soil_T2R3	Soil_T2R4	Soil_T2R5	Soil_T2R6	Soil_T2R7	Soil_T2R8	Soil_T2R9
EnvG_T2R1	0	0.6179735942891649	0.5031357520700941	0.696202537992601	0.5248624284358151	0.6103290207051314	0.7902595476840043	0.5975682176640426	0.8287736914455273	0.6455015282055687	0.5843461609396814	0.7725409319774725	0.9236217005987277	0.8760281344866767	0.9442198064019809	0.9287732424724366	0.8094668506374899	1	0.9189463815252734	0.943172824707437	0.8971271325087018	0.7545685435824617	0.9432180414056969	0.9599715978983581	0.960998881555052	0.8881335851781541	0.8552515710705382	0.8197271015849122	0.6741170615652137	0.869386954387252	0.8648231857640967	0.8952564042819775	0.8388152043710744	0.9435910214672982	0.8912608314576587	0.835471423091532	0.9104857279141886	0.931781939399018	0.7981621272353113	0.8794394686493697	0.9214860338812169	0.9100694849653188	0.8998784205850291	0.9172545997650072	0.8482248290710926	0.856311380806587	0.8517847189813245	0.8779373112197446	0.7894298194964392	0.7992900639679493	0.8889369188229025	0.8948665891977877	0.9352156970543811	0.9390385554984348	0.8627306418485085	0.8351449378889049	0.9005913030206656	0.8469759945509058	0.8886962945744016	0.9104281484621325	0.8663295807835953	0.9054304273226078	0.8921942615484997	0.8413874345040024	0.8744226094138271	0.9404133734661945	0.8712644285402076	0.9265263740282169	0.974285199802794	0.8606082185726566	0.6442900543141682	0.8868872050486488	0.8824918150380063	0.9090815008413281	0.8528186233647876	0.8725228659506663	0.8619065508025051	0.9269566958536515	0.9392034001907522	0.9279038216076945	0.8843580494438577	0.7920895980596789	0.8866824185951595	0.8912576931251727	0.914753011701106	0.904910725045246	0.8895833110434799	0.9616754868605298	0.9244539566932889	0.9522106826515568	0.9452713628685511	0.9455961330958135	0.9159367074396016	0.9295065400034821	0.9579209494513995	0.8563323648698075	0.9597027566557105	0.9291409232594223	0.9186620850769123
EnvG_T2R2	0.6179735942891649	0	0.6002984832232168	0.5964913232415745	0.5855959847850759	0.6223983052175095	0.7938917248159021	0.7633293366602382	0.8973123540321084	0.68661793736168375	0.7021919114870839	0.8573389145082945	0.9359364877717022	0.861903373110728	0.9433415282882083	0.9057998174488243	0.8350216157049782	1	0.9161069687768995	0.9415236809864469	0.9108346435419576	0.8229294177271694	0.9493341596739674	0.9492432867212983	0.9454429379231901	0.8982881572018857	0.881730496283946	0.858623439478798	0.782597486832608	0.875379580800072	0.871734405964465	0.8801730581140407	0.8786884796553825	0.9418094174728119	0.8694942143083185	0.8485275200340129	0.8908826518628035	0.9377269865909046	0.8273967655759138	0.8970322673495187	0.9380812527750582	0.9039003405135266	0.8961996576027716	0.9066626424288401	0.8723860991794186	0.8078177911405359	0.8718118807800186	0.9021381376180804	0.8698237359660785	0.8101596352795171	0.8872635410590333	0.9013961153590349	0.9402234080764569	0.9553582756888827	0.8737421614936919	0.8721269289450271	0.8916368887549978	0.8248465162529072	0.8934342142230948	0.9266090423626304	0.8985478370133895	0.8778215572529309	0.9241204981629987	0.8769915593465321	0.8722024117771375	0.9348140990511776	0.9014301290847608	0.9160009455565605	0.9912002887231377	0.8768979925195834	0.8202463698055031	0.8970596800876677	0.8993662605025948	0.9218103668866092	0.8680245649866771	0.8709559526606439	0.8806145987957016	0.9384329150541691	0.9317012186733072	0.9428129250188847	0.9259460160256581	0.8179058519012822	0.9013459818907352	0.9103789760625033	0.9121146432351347	0.9246652596628098	0.8933249469305637	0.9515372848875975	0.9402469944975183	0.9521306573019168	0.9460536588812635	0.9423775001199727	0.9297674921048219	0.9409850270263435	0.9507896879640931	0.8836639255650599	0.9589998728082643	0.9249341775415124	0.9425978875964777
EnvG_T2R3	0.5031357520700941	0.6002984832232168	0	0.5698092843489151	0.5372971192634074	0.6339207335477544	0.8160994849754463	0.7046165350725193	0.8798759123785487	0.6834141027474824	0.6134739905708165	0.7884963416253223	0.9104730701007174	0.8616907475479958	0.9551570591767884	0.9309772902316917	0.8091605454551728	1	0.9307470916229639	0.9626808923459613	0.8744700641497605	0.7886691553872285	0.9338260355967316	0.9378887582927521	0.9437136412543058	0.883999605880608	0.8495546191837456	0.8411012679391956	0.6733934468216363	0.8685970743924801	0.8398662435512196	0.8934863423579638	0.8483313904191548	0.959012323554503	0.8425579081269399	0.8299719228858824	0.8825042150177923	0.9417884148006227	0.7865126829594772	0.88320474247301906	0.8899105838835459	0.9085852733149389	0.9162528094064032	0.9021488049990684	0.8625694810655219	0.8219664687742911	0.8764109284348215	0.9174022630994564	0.7701557505219117	0.7827511410386538	0.8674577723956226	0.8738892125023295	0.9463595522643199	0.9134825511658193	0.8615520359025518	0.8925472939732759	0.8800766985181216	0.8366829495556679	0.8936383165222528	0.945708899028478	0.8799308808734361	0.8670265354605249	0.9296450996143955	0.8637450594786968	0.8972643944788662	0.9691490835930783	0.9168773784526428	0.9397365256439959	0.9883267711543868	0.8376610661813145	0.6873232151499864	0.8775391608099224	0.8869481518393738	0.9192381069256373	0.8610396617407692	0.8636525837585524	0.8672328849671329	0.9379661045931099	0.9513688982125699	0.9527825268880336	0.9032849305953288	0.7553807524371715	0.9029722934186452	0.9088882512281968	0.9404320113520431	0.9335958212451274	0.896411936620115	0.9802988448856607	0.9573953741857274	0.9765161326230037	0.9740132119837346	0.9744784430613036	0.9526892014827477	0.9616237872354505	0.9799577926998063	0.9309917635590297	0.9784423999493556	0.956190950159441	0.9535457661380432
EnvG_T2R4	0.696202537992601	0.5964913232415745	0.5698092843489151	0	0.6501971743890976	0.7190856254088355	0.861654109566333	0.8218902121390919	0.9337323588515289	0.7252190503403043	0.7398257410509791	0.8568164147152535	0.9006358922860753	0.8556818372710802	0.9640990238451849	0.9213648701844612	0.8230977633032022	1	0.9385055872014237	0.9608074923260337	0.9058175155928988	0.8593958142104289	0.9277876673220827	0.954414534891022	0.9320409064434463	0.8943180569888423	0.9130949089660608	0.9146747729119725	0.8031049837190996	0.8809244541128772	0.8652252249068481	0.8929918296630378	0.9265219080824235	0.9764743544217206	0.8462623132573935	0.8611508866231166	0.8666744734114799	0.9658828282676447	0.848648553601348	0.9272936893837538	0.9144228432960293	0.9308139348594262	0.9314469495882505	0.9241640295026472	0.9198742823009458	0.8281429530059667	0.9184819229766746	0.9589699689494782	0.8572502357983691	0.8295471326477033	0.8938829234038841	0.8884537448459292	0.9512818507069786	0.9509644760074847	0.8928696204462673	0.9255654438601325	0.9096577852869879	0.8406742375897241	0.9152077457597173	0.9704824525762603	0.9329017361931299	0.8551756240126333	0.9680862153195735	0.9202395698445182	0.9240037795516485	0.9649050292718401	0.952531831413327	0.9501736640334295	1	0.881112959041517	0.8436018120222477	0.9051725991861707	0.923830875715637	0.945603997553602	0.899429275436301	0.8922707809073267	0.9093737104914988	0.9678337304347772	0.9547210270853063	0.9702428658100264	0.9484467607063569	0.8439670459238126	0.9345999137978229	0.9391392728167954	0.9562876500517816	0.9566292896858923	0.9146125836594259	0.9905460930717027	0.970995885478611	0.9811691282051976	0.9821636615816629	0.9855625684807217	0.9771758302290348	0.978819835797455	0.9887559761269451	0.9625548135721905	0.9875593149874983	0.9664144777386497	0.9822102905977996
EnvG_T2R5	0.5248624284358151	0.5855959847850759	0.5372971192634074	0.6501971743890976	0	0.53655477026472	0.7746624226411731	0.6291902509885955	0.8449802697152656	0.615065910561648	0.6205515326504509	0.7748836053136776	0.9289955437853517	0.8724652590104267	0.9459064411532451	0.9256675808701526	0.8126969220180021	1	0.9192395376822081	0.9469813874231907	0.8969805999069395	0.8179738538001694	0.9464705300064269	0.9620573140034786	0.9486261097528316	0.8978112015922386	0.8682117620797282	0.857811904388318	0.7173630031630557	0.8600713406666329	0.8605283664080524	0.9025466906069474	0.8744144756952096	0.9450066776340842	0.8810068834174672	0.852664401765893	0.8933159770175821	0.9361699043153358	0.8146458477787523	0.8970511415798323	0.9156228508131573	0.9073737582463415	0.9120844655867824	0.9142489282932708	0.8708471888022487	0.8484071497190616	0.8630468076293442	0.902698829034891	0.8178975147754232	0.8128112617034402	0.8964588784102576	0.9016094557956835	0.9378295903246815	0.9496533046268285	0.8717332379019967	0.8428133032140278	0.9064838000751553	0.8459048019558584	0.893269421790354	0.9144155892910509	0.8779929183843272	0.8887154095097769	0.9142549097820961	0.8630383446779405	0.8984265350105384	0.9495021390263836	0.8840149232313279	0.9315640918811969	0.9697702497951138	0.8550235813850274	0.7276013531050103	0.8836904206210646	0.9077048804403112	0.9185629269378331	0.8692800639778557	0.8764514028320807	0.8863521048659961	0.9278069357701406	0.9393925398417385	0.9434167184924644	0.895386531283485	0.8181224234474169	0.8946249741738704	0.9029400968210536	0.9146748967783963	0.9163420262853812	0.8906879646304819	0.9490464941589681	0.9399563197272174	0.9507661346291132	0.943303589574473	0.9496512035412416	0.9304835915801484	0.9387584268744489	0.9504242291654467	0.8495262622382157	0.9594813819310096	0.9294630933619409	0.9351457468689628
EnvG_T2R6	0.6103290207051314	0.6223983052175095	0.6339207335477544	0.7190856254088355	0.53655477026472	0	0.7850780849166537	0.6766119857503582	0.8368784964575176	0.6482632953907514	0.689838026556134	0.8118631460178753	0.9504545336576479	0.8683759563352409	0.9363933041905158	0.9146552950383396	0.8140974356300879	1	0.9175700163332484	0.9442306803162771	0.8970547476455258	0.8336808650485431	0.9578259023766167	0.9538031449864532	0.9521616058243279	0.8855962817452074	0.8830955208769617	0.8650128585539231	0.7716436979030814	0.8679304591870012	0.8688860346246593	0.8864268673108181	0.8721555395565446	0.9306537465259083	0.8937147932429776	0.8602854805209201	0.8932783956371098	0.9256248240807143	0.8109642204690352	0.9012583747001065	0.9339541781425693	0.9087184350435328	0.9032595379809274	0.9193173968193371	0.8631268291575139	0.8611660957885542	0.8492207810701669	0.9059400615119282	0.86425430470469	0.8205100806140382	0.8998845018241061	0.9067265249681604	0.9317047419649168	0.9551278047382191	0.8739825816887717	0.8369575248283665	0.9156552988203331	0.8540742775043395	0.8895316696867595	0.8982608946847499	0.8870760084141989	0.8984000522431265	0.9141946874824338	0.8553834181965742	0.8900947323393519	0.939003544517147	0.8793682297763741	0.9219060374281324	0.9661703527371408	0.8667619644693317	0.7901254025932054	0.8839878819692805	0.9082747788657167	0.9158860342762822	0.8619905459326865	0.8794260476608495	0.8880375463535753	0.9295722864794481	0.9242613083825799	0.9330657122976924	0.9018888605982098	0.8464811054652878	0.9047028377566907	0.9105288994767635	0.8973601299945035	0.9106214212318466	0.8925245248635766	0.91720676518431965	0.9378647279205933	0.9315818756424691	0.922907372635384	0.9279506537183501	0.9279097206697731	0.9301495197316166	0.9212256692052249	0.8287901403055105	0.9420284118227438	0.9172393587324502	0.9322484141651958
EnvS_T2R1	0.7902595476840043	0.7938917248159021	0.8160994849754463	0.861654109566333	0.7746624226411731	0.7850780849166537	0	0.7853274685829004	0.8459019936056096	0.7578951156257399	0.7624427621952149	0.8061122619502659	0.9185262906632188	0.9073673008544407	0.9394037204510696	0.9325415153516624	0.8360738176698105	0.9890026285817036	0.9316873410120772	0.9387261104084528	0.9054204934152975	0.892739065413289	0.950244260040904	0.9583719370072953	0.9683584738777516	0.9350217285412025	0.8707928205238895	0.8680401948851658	0.8662027130236899	0.8946330112070966	0.9245112988175737	0.909977580702226	0.8963812457266945	0.9249142307287453	0.9229590950260727	0.888768152965683	0.9424576406378979	0.918276662371231	0.8657526864326776	0.8974404105494913	0.9189359685338268	0.9106964957690428	0.9162316297836564	0.9203755664757582	0.8851835092294797	0.9227741305730134	0.872859801745956	0.8891270883938505	0.9042207846756235	0.8839558277977897	0.9065427147092053	0.9274936255861747	0.9268695563931396	0.9353587317125839	0.8702613846887913	0.8511160121651731	0.9129221527316731	0.8962684415667368	0.904489543054588	0.918539104718426	0.8867896081702447	0.9241546691628536	0.9106519387591677	0.8935539461676504	0.9012046603070892	0.9380442616486915	0.8901114489561953	0.9231873333205471	0.986946380247305	0.9111875454896589	0.8475221966750175	0.9197882754537335	0.9236216730449527	0.9340031723167209	0.8503868582288505	0.8945490105826128	0.8851839919538842	0.9366461232708894	0.9377563108999767	0.9292400049340067	0.9127470618637645	0.8923915340924977	0.8940342748885137	0.9050650566183951	0.903421446345598	0.9222614344476975	0.9110293954495584	0.9441111614572041	0.9269436303520178	0.9413082028583747	0.9275410204015905	0.930829925274274	0.909263222965496	0.9316656880591085	0.9408404800382975	0.8405928080439223	0.9493621497665286	0.9139720506847626	0.9285568067742759
EnvS_T2R2	0.5975682176640426	0.7633293366602382	0.7046165350725193	0.8218902121390919	0.6291902509885955	0.6766119857503582	0.7853274685829004	0	0.7633918135526189	0.6199394724447267	0.6298070727626764	0.7249575650997794	0.9265266880329996	0.9040794577835457	0.9396119835853343	0.9377022319990083	0.8036838588454747	1	0.9270833499229024	0.9483393430762849	0.919034923400784	0.8158649440523266	0.9614983939143156	0.9661647522903134	0.9678021534326776	0.9145512226964502	0.862468698385086	0.8395833385172974	0.6913543395700739	0.8807765460498179	0.8967607541410765	0.9069767248944419	0.8600277689885104	0.9367385253261442	0.9109310899688932	0.873782454934989	0.934731898027104	0.9285428420395656	0.8385366034743806	0.8967300433037586	0.944419072825703	0.9189763498418592	0.9148875698675366	0.9388204530194618	0.8621268079761083	0.9041172641144012	0.8458227968942853	0.8718248778616603	0.8127235647570247	0.8376755875443282	0.90773702608646	0.9268259871177669	0.9347571285308867	0.9504581481755938	0.871382898751175	0.8122804657920263	0.92101900885527	0.8855851780308153	0.904017594169736	0.8863061437666643	0.8626787964020303	0.9229972363023325	0.8797535309222014	0.8399477425503998	0.8934904513006771	0.9321146799460213	0.8588215742038768	0.9240260827342326	0.9754675692609376	0.8926378501193306	0.6297032854654881	0.9102605124167448	0.9196605194668608	0.9187741933139741	0.8555616915346447	0.8894225903834068	0.8692347363358778	0.9213335442494259	0.93385976699963	0.9246091295867156	0.8824727639446197	0.8493173656668155	0.892762635690539	0.8985221673061778	0.9038034288590817	0.9109848176049239	0.9129412584910493	0.9385125113445704	0.9056634179635487	0.9318040781910144	0.9255548528540171	0.924242333542797	0.8985498562031914	0.9075899558454072	0.9325422991892651	0.7890569226128342	0.9439684840594084	0.916348244052451	0.9002516908944173
EnvS_T2R3	0.8287736914455273	0.8973123540321084	0.8798759123785487	0.9337323588515289	0.8449802697152656	0.8368784964575176	0.8459019936056096	0.7633918135526189	0	0.757517096291813	0.7736881771760554	0.8178116255053601	0.9681470857994499	0.926820763532172	0.9365256899036845	0.9326521562680631	0.8294808400597738	1	0.9209235425373948	0.9454315225602217	0.9291492518264397	0.8854696591221571	0.9637232498968621	0.9773665270924089	0.9803660160272584	0.9377304233971752	0.880917726948504	0.8535356644572436	0.8458364449244612	0.9134401305740184	0.9253261901705669	0.9272950811024236	0.8894796805539189	0.9256430718343085	0.9469772751525564	0.8986088410369278	0.9623380377430244	0.9418456982500291	0.8919733454482572	0.9319875523389833	0.9625540377540897	0.9264170722606234	0.926208902213983	0.9495563893663731	0.8925145745215006	0.9299123041836549	0.8561796302334856	0.8878074642901986	0.8936605370825492	0.8914038161343728	0.9341171328261925	0.9497425051864047	0.932597388458663	0.9444028277107064	0.8417914772242064	0.8167638769511676	0.9372716784969792	0.918183624203662	0.9094537657985162	0.8789279753153868	0.8885437029964525	0.943766213244046	0.879127390852063	0.8676603947254391	0.8991856312027423	0.9368639794753233	0.8870051491676689	0.9253959178223461	0.9832533461070603	0.9321460999380367	0.8189621213850108	0.9367231944277348	0.9264347484743494	0.9347963384387049	0.8414996298287613	0.9115642037560114	0.8944090851851793	0.9149808031040668	0.9353641336227113	0.9308566865607136	0.9023030490755252	0.8996029819596533	0.914556944284199	0.9002377353711185	0.9020634456265009	0.9060254460355068	0.9229228067452586	0.9150682196843203	0.8982811016749777	0.9180722737240337	0.9099865062311404	0.9074602080306932	0.8907254944343165	0.8873391052093449	0.9056521596478797	0.8164006094993979	0.9207860071013269	0.9084388455534186	0.8873000018306567
EnvS_T2R4	0.6455015282055687	0.68661793736168375	0.6834141027474824	0.7252190503403043	0.615065910561648	0.6482632953907514	0.7578951156257399	0.6199394724447267	0.757517096291813	0	0.6399773411763445	0.7482256417245587	0.9219064550748213	0.887376904433536	0.938714240096949	0.9164084860109541	0.7831014495679176	1	0.9138723935909437	0.9336900834439882	0.8992129637908766	0.8440672096344527	0.9529403082732196	0.9602520083499514	0.9578931193402455	0.8991875911192737	0.8462649647050875	0.8443429658191716	0.7414499914708521	0.8659048463421684	0.8793996036824705	0.8927850197838938	0.8815538442513542	0.9375558952108731	0.8875551939342287	0.8503714521393895	0.9107599808244521	0.93478448656154145	0.821218417083883	0.8951070705986319	0.931356592575879	0.9247575946839945	0.9096191545875691	0.9318998997670019	0.8811701926468677	0.8707690878261714	0.8342485165300908	0.8942150883660561	0.8185142515817815	0.8203278872858281	0.898033446343213	0.9119150356735362	0.9336656669320121	0.9434382624601968	0.8432854673012085	0.8132836929706081	0.9041295408936375	0.8601642329187881	0.9003172946911105	0.8996663047685394	0.8793306290730706	0.9019872155412302	0.904056769680622	0.857482325735864	0.8872588366216019	0.9421694631705386	0.8811149247138569	0.9208411071929548	0.9808876671874148	0.8733637033078461	0.7316167382826589	0.9059997068838584	0.905928893507571	0.9214898930721753	0.8438821077490106	0.8746697902042565	0.8830388344189235	0.9227296673431494	0.930698909840207	0.9322896131121339	0.9082788499164559	0.831245210050049	0.8994313827717181	0.9076813997814078	0.9062995604660128	0.9184211410610573	0.9075539718683733	0.935663208641968	0.9233286328659064	0.9355188750721364	0.9285309989580822	0.9335089178544954	0.9190037385191678	0.9222789519339144	0.9292449152833531	0.8129359104081292	0.9441297283338096	0.9142377465104783	0.9241179495775512
