Feature ID	Taxon	Confidence
f76d90255fdd0934234ac28ec3c6bd4b	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Ciliophora;s__Ciliophora_sp	0.9998787517186091
c957762837f116901afa7ae1f91a4487	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Davidiellomyces	0.8842942311439816
70b95dc86c968e260a1180b13e13dfed	k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.9038919350620138
8fe403a7c911f4631e130be1152915cb	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp;sh__SH0859555.10FU	0.9998932247604115
b69be242c4af3eb575e3349e18f61848	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Marchandiobasidium;s__Marchandiobasidium_sp	0.9997649517316565
08367ad5020297157793e849519206de	k__Fungi;p__Ascomycota	0.8418561138992037
2ea2f014d2ebd5776f9bce4df592a2ba	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Cytosporella;s__Cytosporella_juncicola;sh__SH1373052.10FU	0.9999663164294573
374ac2b408826a92444c2491d54ff47d	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0955309.10FU	0.9999621126985488
2e75f9fec85fe6307f192726d6916d1b	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Hormodochis;s__Hormodochis_aggregata;sh__SH0853400.10FU	0.8208739763763923
3b9f77ee8cfd3a2eb71078ddf7146cd1	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Quambalariaceae;g__Quambalaria;s__Quambalaria_tasmaniae;sh__SH1345299.10FU	0.8284299821749421
4d3ffc81ae45baa1ef02c33968ad7afc	k__Fungi;p__Ascomycota	0.76612353963623
354020976173132daa37bc9ad53ccde6	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellales_fam_Incertae_sedis;g__Mortierellales_gen_Incertae_sedis;s__Mortierellales_sp;sh__SH0846426.10FU	0.9971060788065175
452ed30e0605cf59163cc746552eef43	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Kondoaceae;g__Kondoa;s__Kondoa_phyllada;sh__SH0880181.10FU	0.9958843556438917
07000273cb63b48d4ff660460394edce	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Polyscytalum	0.709174488332407
3c12aef17608576e7c048823de9fa40d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.94929737423573
f770733dafee23b6cd9043a2cc224c33	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9224292398075717
201f59a2e2ed13fe7561acbc7f0eb1be	k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.9999999964064455
d641a3efa869c03a3bb4510e5c1c433d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.8501807225258471
100ec9cab93c63939a63f851b63ed392	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH0729926.10FU	0.999993369004515
8ab9aa07fdbad5bd34c5ff93c68d133b	k__Fungi;p__Basidiomycota	0.9948364187756823
a82271367d248270983245847f9ed62e	k__Fungi;p__Ascomycota	0.8656992055741928
9e8b3182cafb3b20ab4f38ac6ee48a98	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Claroideoglomus;s__Claroideoglomus_walkeri;sh__SH0774787.10FU	0.9912742691821095
222675cd62abefc8f345c4bc5317795e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae	0.750034116167102
8735acfe1b611adbb5f6a66513487dae	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Celotheliaceae;g__Neophaeomoniella	0.9638057893420287
cf2afd5635aa55e04350c72519567e59	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora	0.8767417992590754
8f2d46efb02a0efc6fa7df2969cf8cba	k__Fungi;p__Ascomycota	0.7913789629292705
4e9382f26e7b9933a07a88c2d49e6520	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.961039533593473
28430cde011946a62f1fb16cfdb68699	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH0729926.10FU	0.9999741398066809
304b66e0f8d9603b370ec441ac75bb3d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina	0.8343094982001313
fd264c8042f9074e115c7992c958dacd	k__Fungi;p__Ascomycota	0.9999999996010179
cf6357be40dbaa2cde37107e38b6502f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.8861248313055022
ddbd32db4edea2fec8f34deb41aefbe3	k__Fungi;p__Ascomycota	0.7085044131189757
6614f2b192fe6a7043a6577101784be5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Mycosphaerellaceae_gen_Incertae_sedis;s__Mycosphaerellaceae_sp;sh__SH0972155.10FU	0.975307897723128
