Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count,Abs_count_minus_negative
24,T1______7_1_20,24 1:20,3249,7/1/20 16:41,682,26771,8.44,8.34
24,T1______7_1_20,24,3188,,0,0,0,0
24,T1______7_1_20,23 1:10,3194,7/1/20 16:43,319,6371,37.9,37.8
24,T1______7_1_20,23,3195,,0,0,0,0
24,T1______7_1_20,22 1:10,3196,7/1/20 16:44,990,19726,26.5,26.4
24,T1______7_1_20,22,3197,,0,0,0,0
24,T1______7_1_20,21 1:10,3198,7/1/20 16:46,557,11123,0.7,0.6
24,T1______7_1_20,21 1:5,3250,7/1/20 16:48,1230,24511,7.05,6.95
24,T1______7_1_20,21 1:5(1),3251,7/1/20 16:49,1402,83789,6.8,6.7
24,T1______7_1_20,21,3199,,0,0,0,0
24,T1______7_1_20,20 1:10,3200,7/1/20 16:51,3164,62676,43.1,43
24,T1______7_1_20,20 1:20,3252,7/1/20 16:53,1564,31135,24.7,24.6
24,T1______7_1_20,20,3201,,0,0,0,0
24,T1______7_1_20,19 1:10,3202,7/1/20 16:54,5778,113538,7.25,7.15
24,T1______7_1_20,19 1:50,3253,7/1/20 16:56,1079,21501,3.4,3.3
24,T1______7_1_20,19 1:50(1),3254,7/1/20 16:57,956,57215,2.13,2.03
24,T1______7_1_20,19,3203,,0,0,0,0
24,T1______7_1_20,18 1:10,3204,7/1/20 16:59,527,10516,6.45,6.35
24,T1______7_1_20,18 1:10(1),3255,7/1/20 17:00,550,33,0,0
24,T1______7_1_20,18 1:10(2),3256,7/1/20 17:01,525,20601,5.49,5.39
24,T1______7_1_20,17 1:10,3206,7/1/20 17:03,732,14602,14.6,14.5
24,T1______7_1_20,16 1:10,3208,7/1/20 17:04,169,3388,0.15,0.05
24,T1______7_1_20,16,3209,7/1/20 17:05,724,14457,1.15,1.05
24,T1______7_1_20,15 1:10,3210,7/1/20 17:06,523,10432,2.9,2.8
24,T1______7_1_20,15 1:2,3259,7/1/20 17:07,2424,48088,36,35.9
24,T1______7_1_20,15 1:5,3260,7/1/20 17:10,1037,20664,15.4,15.3
24,T1______7_1_20,14 1:10,3212,7/1/20 17:09,534,10652,3.75,3.65
24,T1______7_1_20,14 1:10(1),3261,7/1/20 17:11,537,32150,5.3,5.2
24,T1______7_1_20,14 1:5,3262,7/1/20 17:14,1169,23297,7.8,7.7
24,T1______7_1_20,13 1:10,3214,7/1/20 17:15,403,8042,4.15,4.05
24,T1______7_1_20,13 1:5,3263,7/1/20 17:16,721,14387,8.85,8.75
24,T1______7_1_20,13,3215,,0,0,0,0
24,T1______7_1_20,12 1:10,3216,7/1/20 17:17,390,7791,1.45,1.35
24,T1______7_1_20,12,3217,,0,0,0,0
24,T1______7_1_20,12 1:5,3264,7/1/20 17:18,814,16230,6.55,6.45
24,T1______7_1_20,11 1:10,3225,7/1/20 17:19,220,4398,17.7,17.6
24,T1______7_1_20,11,3226,,0,0,0,0
24,T1______7_1_20,10 1:10,3227,7/1/20 17:21,287,5723,34.6,34.5
24,T1______7_1_20,10,3228,,0,0,0,0
24,T1______7_1_20,9 1:10,3229,7/1/20 17:22,565,11292,4.55,4.45
24,T1______7_1_20,9,3230,,0,0,0,0
24,T1______7_1_20,9 1:5,3265,7/1/20 17:24,1195,23821,9.9,9.8
24,T1______7_1_20,8 1:10,3231,7/1/20 17:25,603,12032,9.75,9.65
24,T1______7_1_20,8,3232,,0,0,0,0
24,T1______7_1_20,8 1:5,3266,7/1/20 17:27,1010,20157,16.7,16.6
24,T1______7_1_20,7 1:10,3233,7/1/20 17:28,226,4508,0.25,0.15
24,T1______7_1_20,7,3234,,0,0,0,0
24,T1______7_1_20,7 1:2,3267,7/1/20 17:30,738,14720,0.8,0.7
24,T1______7_1_20,6 1:10,3235,7/1/20 17:31,325,6499,7.65,7.55
24,T1______7_1_20,6,3236,,0,0,0,0
24,T1______7_1_20,6 1:5,3268,7/1/20 17:32,507,10126,13.4,13.3
24,T1______7_1_20,5 1:10,3237,7/1/20 17:33,151,3012,0.85,0.75
24,T1______7_1_20,5,3238,7/1/20 17:35,593,11840,0.4,0.3
24,T1______7_1_20,5 1:5,3269,7/1/20 17:34,156,1419,0.329,0.229
24,T1______7_1_20,5 1:10(1),3271,7/1/20 17:41,179,6734,0.451,0.351
24,T1______7_1_20,4 1:10,3239,7/1/20 17:36,378,7541,0.8,0.7
24,T1______7_1_20,4,3240,,0,0,0,0
24,T1______7_1_20,4 1:5,3270,7/1/20 17:38,586,11706,10.3,10.2
24,T1______7_1_20,3 1:10,3241,7/1/20 17:39,1247,24844,13.8,13.7
24,T1______7_1_20,3,3242,,0,0,0,0
24,T1______7_1_20,2 1:10,3243,7/1/20 17:40,213,4251,0.55,0.45
24,T1______7_1_20,2,3244,7/1/20 17:43,1226,24425,0.6,0.5
24,T1______7_1_20,1 1:10,3245,7/1/20 17:44,890,17752,2.65,2.55
