"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.118611440254904	0.600064571876386	0.297414065978389	0	0	0	0	0	0	0	0	0	0	0	0
"A2"	0.164764250287544	0.356089543506829	0.381651956621355	0	0	0	0	0	0	0.0286297936715745	0.0286297936715745	0.0095432645571915	0.0095432645571915	0.0201938066710204	0.00095432645571915
"A3"	0.264407085841728	0.122225127405327	0.22790298818416	0	0	0	0	0.00252985089130253	0	0.112612241986679	0.112612241986679	0.0375374139955598	0.0375374139955598	0.0788818943134491	0.00375374139955598
"A4"	0.262696247412355	0.0578835187505579	0.0693998677112255	0	0	0	0	0.0857300664865092	0	0.155267814335557	0.155267814335557	0.0517559381118524	0.0517559381118524	0.105067200933349	0.00517559381118524
"A5"	0.175757866507566	0.00837191804594551	0.0078455961112173	0	0	0	0	0.203685075621157	0	0.180831127347561	0.180831127347561	0.060277042449187	0.060277042449187	0.116095499875699	0.0060277042449187
"A6"	0.0510325050440204	0	0	0	0	0	0	0.282168952848192	0	0.200039562632336	0.200039562632336	0.0666798542107787	0.0666798542107787	0.12669172300048	0.00666798542107787
"A7"	0.0290716492723996	0	0	0	0	0	0	0.173495478172381	0	0.239229861766566	0.239229861766566	0.079743287255522	0.079743287255522	0.151512245785492	0.0079743287255522
"A8"	0.0999609634952634	0	0.0746477523271883	0	0	0.0970322898103252	0.0923220678270251	0.113057381123681	0	0.156893863624955	0.156893863624955	0.0522979545416516	0.0522979545416516	0.0993661136291381	0.00522979545416517
"B1"	0.0663712190664029	0.727514251630184	0.24418723454142	0	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.0932819628699481	0.773344106322028	0.286540387179702	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.266786811803805	0.497450638902304	0.114922558475604	0	0	0	0	0	0	0.036251997245486	0.036251997245486	0.0120839990818287	0.0120839990818287	0.0229595982554745	0.00120839990818287
"B4"	0.246963621414716	0.241659949890237	0.0803162657031574	0	0	0	0	0	0	0.129318048897567	0.129318048897567	0.0431060162991889	0.0431060162991889	0.081901430968459	0.00431060162991889
"B5"	0.198015642037412	0.038140994505774	0.0274633648442361	0	0	0	0	0	0	0.220913999583773	0.220913999583773	0.0736379998612578	0.0736379998612578	0.13991219973639	0.00736379998612578
"B6"	0.0926513525017914	0	0	0	0	0	0	0	0	0.272204594249463	0.272204594249463	0.0907348647498209	0.0907348647498209	0.17239624302466	0.00907348647498209
"B7"	0	0	0	0	0	0.00156904881171861	0	0	0	0.299529285356484	0.299529285356484	0.0998430951188281	0.0998430951188281	0.189701880725773	0.00998430951188281
"B8"	0	0	0	0	0	0.0848152908607781	0	0	0	0.274555412741767	0.274555412741767	0.0915184709139222	0.0915184709139222	0.173885094736452	0.00915184709139222
"C1"	0.0892633144940653	0.0926226472352825	0.588750626797708	0.0245764057105305	0	0	0	0	0	0.00603321513385039	0.00603321513385039	0.00201107171128346	0.00201107171128346	0.00382103625143858	0.000201107171128346
"C2"	0.121588270085035	0.467413238059008	0.270990315508014	0	0	0	0	0	0	0.0314624935349933	0.0314624935349933	0.0104874978449978	0.0104874978449978	0.0199262459054957	0.00104874978449978
"C3"	0.196670967106478	0.303045586919828	0.0702349179600107	0	0	0	0	0	0	0.119959799109253	0.119959799109253	0.0399865997030844	0.0399865997030844	0.0759745394358604	0.00399865997030844
"C4"	0.192918500299061	0.18275287701797	0.0292331737052978	0	0	0	0	0	0	0.178198032522001	0.178198032522001	0.0593993441740004	0.0593993441740004	0.112858753930601	0.00593993441740004
"C5"	0.122049268571381	0.0505668826840592	0.0127953815283115	0	0	0	0	0	0	0.244376540164875	0.244376540164875	0.0814588467216249	0.0814588467216249	0.154771808771087	0.00814588467216249
"C6"	0.036607033423766	0	0	0	0	0	0	0	0	0.28901788997287	0.28901788997287	0.0963392966576234	0.0963392966576234	0.183044663649484	0.00963392966576234
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.0944339958437637	0	0	0	0	0	0	0	0.00261658988749269	0.270884824280623	0.270884824280623	0.0902949414268744	0.0902949414268744	0.171560388711061	0.00902949414268744
