"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.125725141155451	0.856166407101723	0.856166407101722	0.983626190461333	0.983632474397775	0.983632474397775	0.983632474397775	0.424886890986843	0.406219071506161	0.188586072445034	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397775	0.856166407101722	0.686211650706985	0.856166407101722	0.875162103840751	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397775
"A2"	0.125725141155451	0	0.859347622431394	0.859347622431394	0.999994414694728	1	1	1	0.385850991809431	0.306226688835357	0.136218564411069	1	1	1	1	1	0.859347622431394	0.643624072687867	0.859347622431394	0.903589073789355	1	1	1	1
"A3"	0.856166407101723	0.859347622431394	0	0	0.983626190461328	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.43096304760034	1	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	4.8853472265839e-15	0.98363247439777	0.602918248891565	0.875162103840745	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777
"A4"	0.856166407101722	0.859347622431394	0	0	0.983626190461329	0.983632474397771	0.983632474397771	0.983632474397771	0.98363247439777	0.43096304760034	1	0.983632474397771	0.983632474397771	0.983632474397771	0.983632474397771	0.983632474397771	3.88591611145961e-15	0.983632474397771	0.602918248891566	0.875162103840746	0.983632474397771	0.983632474397771	0.983632474397771	0.983632474397771
"A5"	0.983626190461333	0.999994414694728	0.983626190461328	0.983626190461329	0	6.28393644160271e-06	6.28393644160271e-06	6.28393644160271e-06	0.98363247439777	0.999996206630309	1	6.28393644160271e-06	6.28393644160271e-06	6.28393644160271e-06	6.28393644160271e-06	6.28393644160271e-06	0.983626190461333	0.983632473661356	0.380707941569763	0.108464086620583	6.28393644160271e-06	6.28393644160271e-06	6.28393644160271e-06	6.28393644160271e-06
"A6"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"A7"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"A8"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"B1"	0.424886890986843	0.385850991809431	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0	0.406219071950708	0.413815773205262	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.983632474397774	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777	0.98363247439777
"B2"	0.406219071506161	0.306226688835357	0.43096304760034	0.43096304760034	0.999996206630309	1	1	1	0.406219071950708	0	0.412660927251242	1	1	1	1	1	0.43096304760034	0.766479251895009	0.770177528501901	0.934520627348285	1	1	1	1
"B3"	0.188586072445034	0.136218564411069	1	1	1	1	1	1	0.413815773205262	0.412660927251242	0	1	1	1	1	1	1	0.533913454225827	1	1	1	1	1	1
"B4"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"B5"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"B6"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"B7"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"B8"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"C1"	0.856166407101722	0.859347622431394	4.8853472265839e-15	3.88591611145961e-15	0.983626190461333	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397774	0.43096304760034	1	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397775	0	0.983632474397774	0.60291824889157	0.87516210384075	0.983632474397775	0.983632474397775	0.983632474397775	0.983632474397775
"C2"	0.686211650706985	0.643624072687867	0.98363247439777	0.983632474397771	0.983632473661356	0.983632473661356	0.983632473661356	0.983632473661356	0.98363247439777	0.766479251895009	0.533913454225827	0.983632473661356	0.983632473661356	0.983632473661356	0.983632473661356	0.983632473661356	0.983632474397774	0	0.983632473661356	0.983632473661356	0.983632473661356	0.983632473661356	0.983632473661356	0.983632473661356
"C3"	0.856166407101722	0.859347622431394	0.602918248891565	0.602918248891566	0.380707941569763	0.380714225506205	0.380714225506205	0.380714225506205	0.98363247439777	0.770177528501901	1	0.380714225506205	0.380714225506205	0.380714225506205	0.380714225506205	0.380714225506205	0.60291824889157	0.983632473661356	0	0.27224385494918	0.380714225506205	0.380714225506205	0.380714225506205	0.380714225506205
"C4"	0.875162103840751	0.903589073789355	0.875162103840745	0.875162103840746	0.108464086620583	0.108470370557024	0.108470370557024	0.108470370557024	0.98363247439777	0.934520627348285	1	0.108470370557024	0.108470370557024	0.108470370557024	0.108470370557024	0.108470370557024	0.87516210384075	0.983632473661356	0.27224385494918	0	0.108470370557024	0.108470370557024	0.108470370557024	0.108470370557024
"C5"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"C6"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"C7"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
"C8"	0.983632474397775	1	0.98363247439777	0.983632474397771	6.28393644160271e-06	0	0	0	0.98363247439777	1	1	0	0	0	0	0	0.983632474397775	0.983632473661356	0.380714225506205	0.108470370557024	0	0	0	0
