"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.139448937281783	0.518802682917691	0.325380853657493	0	0	0	0	0	0	0.00491025784290982	0.00491025784290982	0.00163675261430327	0.00163675261430327	0.00310982996717622	0.000163675261430327
"A2"	0.119329436341293	0.583861630707719	0.481682158831547	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.968591929514517	0	0	0	0	0	0	0	0	0.009422421145645	0.009422421145645	0.00314080704854833	0.00314080704854833	0.00596753339224183	0.000314080704854833
"A4"	0.858222401821072	0	0	0	0	0	0	0	0	0.0425332794536785	0.0425332794536785	0.0141777598178928	0.0141777598178928	0.0269377436539964	0.00141777598178928
"A5"	0.133757479607127	0	0	0	0	0	0	0	0	0.259872756117862	0.259872756117862	0.0866242520392873	0.0866242520392873	0.164586078874646	0.00866242520392873
"A6"	0	0	0	0	0	0	0	0.0420775809452772	0	0.287376725716417	0.287376725716417	0.0957922419054723	0.0957922419054723	0.182005259620397	0.00957922419054723
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0.00517891252855691	0.983632473856965	0	0	0	0	0	0	0	0.00335658408434349	0.00335658408434349	0.00111886136144783	0.00111886136144783	0.00212583658675088	0.000111886136144783
"B2"	0.69066763349121	0.983632473934173	0.436491235472719	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.103535803507957	0.558317216587028	0.388398777148887	0	0	0	0	0	0	0	0	0	0	0	0
"B4"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.0090770078809812	0	0	0	0.297276897635706	0.297276897635706	0.0990922992119019	0.0990922992119019	0.188275368502614	0.00990922992119019
"C1"	0.851027922748564	0	0.000464175005029555	0	0	0	0	0	0	0.00490676105608908	0.00490676105608908	0.00163558701869636	0.00163558701869636	0.00310761533552309	0.000163558701869636
"C2"	0	0.022181777616124	0.961453986868234	0	0	0	0	0	0	0.00490927065469258	0.00490927065469258	0.00163642355156419	0.00163642355156419	0.00310920474797197	0.000163642355156419
"C3"	0.42799748971598	0.0596897764182266	0	0	0	0	0	0	0	0.153693820159738	0.153693820159738	0.0512312733865794	0.0512312733865794	0.0973394194345008	0.00512312733865794
"C4"	0.260061422646196	0	0	0	0	0	0	0	0	0.221981573206141	0.221981573206141	0.0739938577353805	0.0739938577353805	0.140588329697223	0.00739938577353805
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.00544013253631916	0	0	0	0	0	0	0	0	0.298367960239104	0.298367960239104	0.0994559867463681	0.0994559867463681	0.188966374818099	0.00994559867463681
