"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.136594122089758	0.529453040393247	0.318719618209436	0	0	0	0	0	0	0.00456996579226765	0.00456996579226765	0.00152332193075588	0.00152332193075588	0.00289431166843618	0.000152332193075588
"A2"	0.0537612725109328	0.459922028328706	0.462155221569462	0	0	0	0	0	0	0.00724844327726974	0.00724844327726974	0.00241614775908992	0.00241614775908992	0.00459068074227084	0.000241614775908992
"A3"	0.571128741176943	0	0.0648397361702288	0	0	0	0	0	0	0.109209456795848	0.109209456795848	0.0364031522652828	0.0364031522652828	0.0691659893040373	0.00364031522652828
"A4"	0.443348476184046	0	0	0	0	0	0	0	0	0.166995457144786	0.166995457144786	0.0556651523815954	0.0556651523815954	0.105763789525031	0.00556651523815954
"A5"	0.175201331845671	0	0	0	0	0	0	0.0898408082743042	0	0.220487357964007	0.220487357964007	0.0734957859880025	0.0734957859880025	0.139641993377205	0.00734957859880025
"A6"	0.0392873523038626	0	0	0	0	0	0	0.282267672467201	0	0.203533492568681	0.203533492568681	0.0678444975228936	0.0678444975228936	0.128904545293498	0.00678444975228936
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0.0150489568574878	0	0.0462211857117023	0	0	0.0474612117301976	0.116290501086975	0	0	0.232493443384091	0.232493443384091	0.0774978144613638	0.0774978144613638	0.147245847476591	0.00774978144613638
"B1"	0.12695104731248	0.981248506512544	0.155458678195925	0	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.281196258362766	0.972323976030653	0.407692063481446	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.2095104318981	0.468598793251342	0.164772323655608	0	0	0	0	0	0	0.0471355353584849	0.0471355353584849	0.015711845119495	0.015711845119495	0.0298525057270404	0.0015711845119495
"B4"	0.284593612437823	0.0162773616818586	0.0082273730188636	0	0	0	0	0	0	0.207270495858436	0.207270495858436	0.0690901652861454	0.0690901652861454	0.131271314043676	0.00690901652861454
"B5"	0.110914258144437	0	0	0	0	0	0	0	0	0.266725722556669	0.266725722556669	0.0889085741855563	0.0889085741855563	0.168926290952557	0.00889085741855563
"B6"	0.00206091717089337	0	0	0	0	0	0	0	0	0.299381724848732	0.299381724848732	0.0997939082829107	0.0997939082829107	0.18960842573753	0.00997939082829107
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.255588685915389	0	0	0	0.223323394225383	0.223323394225383	0.0744411314084611	0.0744411314084611	0.141438149676076	0.00744411314084611
"C1"	0.306067791308518	0	0.35727671319069	0	0	0	0	0	0	0.0046950013470348	0.0046950013470348	0.0015650004490116	0.0015650004490116	0.00297350085312204	0.00015650004490116
"C2"	0.0736266395862019	0.271123054192864	0.499041000833585	0	0	0	0	0	0	0.0295743522207634	0.0295743522207634	0.00985811740692112	0.00985811740692112	0.0187304230731501	0.000985811740692112
"C3"	0.455607090758223	0.280967013242198	0	0	0	0	0	0	0	0.0790277687998739	0.0790277687998739	0.026342589599958	0.026342589599958	0.0500509202399201	0.0026342589599958
"C4"	0.357565055720762	0	0	0	0	0	0	0	0	0.192730483283771	0.192730483283771	0.0642434944279238	0.0642434944279238	0.122062639413055	0.00642434944279238
"C5"	0.0448074974034092	0	0	0	0	0	0	0	0	0.286557750778977	0.286557750778977	0.0955192502596591	0.0955192502596591	0.181486575493352	0.00955192502596591
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.168044628540433	0	0	0	0	0	0	0	0	0.24958661143787	0.24958661143787	0.0831955371459567	0.0831955371459567	0.158071520577318	0.00831955371459567
