"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.140578498606001	0.515037478319425	0.328016496747336	0	0	0	0	0	0	0.00491025789817114	0.00491025789817114	0.00163675263272371	0.00163675263272371	0.00310983000217506	0.000163675263272371
"A2"	0.115039321256867	0.57317673226092	0.48885497968258	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.959649412258097	0	0	0	0	0	0	0	0	0.0121051763225709	0.0121051763225709	0.0040350587741903	0.0040350587741903	0.00766661167096158	0.00040350587741903
"A4"	0.823185516602493	0	0	0	0	0	0	0	0	0.0530443450192521	0.0530443450192521	0.0176814483397507	0.0176814483397507	0.0335947518455263	0.00176814483397507
"A5"	0.146852875521371	0	0	0	0	0	0	0	0	0.255944137343589	0.255944137343589	0.0853147124478629	0.0853147124478629	0.16209795365094	0.00853147124478629
"A6"	0	0	0	0	0	0	0	0.0611421524391506	0	0.281657354268255	0.281657354268255	0.0938857847560849	0.0938857847560849	0.178382991036561	0.0093885784756085
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0.0129977079181575	0.983632473672762	0	0	0	0	0	0	0	0.00101094552272424	0.00101094552272424	0.000336981840908079	0.000336981840908079	0.000640265497725351	3.36981840908079e-05
"B2"	0.651188046780201	0.983632474016152	0.440926720524125	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.116965539514782	0.551625392181121	0.363406299263862	0	0	0	0	0	0	0	0	0	0	0	0
"B4"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.0248697804240403	0	0	0	0.292539065872788	0.292539065872788	0.097513021957596	0.097513021957596	0.185274741719432	0.0097513021957596
"C1"	0.806525374658394	0	0.00907428187274804	0	0	0	0	0	0	0.00543688679096024	0.00543688679096024	0.00181229559698675	0.00181229559698675	0.00344336163427482	0.000181229559698675
"C2"	0	0.039571990094091	0.944065156251528	0	0	0	0	0	0	0.00490885609631418	0.00490885609631418	0.00163628536543806	0.00163628536543806	0.00310894219433232	0.000163628536543806
"C3"	0.43214543600487	0.0791058266725086	0	0	0	0	0	0	0	0.146624621196786	0.146624621196786	0.0488748737322622	0.0488748737322622	0.0928622600912981	0.00488748737322622
"C4"	0.274886551143854	0	0	0	0	0	0	0	0	0.217534034656844	0.217534034656844	0.0725113448856146	0.0725113448856146	0.137771555282668	0.00725113448856146
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.0150720777150791	0	0	0	0	0	0	0	0	0.295478376685476	0.295478376685476	0.0984927922284921	0.0984927922284921	0.187136305234135	0.00984927922284921
