"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.265710039070461	0.87917655761959	0.879176557619589	0.983632473809895	0.983632473809895	0.983632473809895	0.983632473809895	0.348186387301017	0.393226283401805	0.222423695580664	0.983632473809895	0.983632473809895	0.983632473809895	0.983632473809895	0.983632473809895	0.87917655761959	0.739902002699183	0.879176557619589	0.983632473809895	0.983632473809895	0.983632473809895	0.983632473809895	0.983632473809895
"A2"	0.265710039070461	0	0.818607234397389	0.818607234397389	1	1	1	1	0.351151009670151	0.292545886532888	0.142091021221544	1	1	1	1	1	0.818607234397389	0.576750213593908	0.818607234397389	1	1	1	1	1
"A3"	0.87917655761959	0.818607234397389	0	1.3326335477834e-15	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.393226283415897	1	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	4.10777098100445e-15	0.983632473809885	0.710480249940158	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885
"A4"	0.879176557619589	0.818607234397389	1.3326335477834e-15	0	0.983632473809884	0.983632473809884	0.983632473809884	0.983632473809884	0.983632473809885	0.393226283415897	1	0.983632473809884	0.983632473809884	0.983632473809884	0.983632473809884	0.983632473809884	5.44040452878786e-15	0.983632473809884	0.710480249940157	0.983632473809884	0.983632473809884	0.983632473809884	0.983632473809884	0.983632473809884
"A5"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"A6"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"A7"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"A8"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"B1"	0.348186387301017	0.351151009670151	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0	0.393226283415897	0.345778121342399	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809889	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885	0.983632473809885
"B2"	0.393226283401805	0.292545886532888	0.393226283415897	0.393226283415897	1	1	1	1	0.393226283415897	0	0.420800735997996	1	1	1	1	1	0.393226283415897	0.8304177915125	0.831500489778941	1	1	1	1	1
"B3"	0.222423695580664	0.142091021221544	1	1	1	1	1	1	0.345778121342399	0.420800735997996	0	1	1	1	1	1	1	0.538658909741163	1	1	1	1	1	1
"B4"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"B5"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"B6"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"B7"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"B8"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"C1"	0.87917655761959	0.818607234397389	4.10777098100445e-15	5.44040452878786e-15	0.983632473809889	0.983632473809889	0.983632473809889	0.983632473809889	0.983632473809889	0.393226283415897	1	0.983632473809889	0.983632473809889	0.983632473809889	0.983632473809889	0.983632473809889	0	0.983632473809889	0.710480249940163	0.983632473809889	0.983632473809889	0.983632473809889	0.983632473809889	0.983632473809889
"C2"	0.739902002699183	0.576750213593908	0.983632473809885	0.983632473809884	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473809885	0.8304177915125	0.538658909741163	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473809889	0	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473787056	0.983632473787056
"C3"	0.879176557619589	0.818607234397389	0.710480249940158	0.710480249940157	0.273152223869727	0.273152223869727	0.273152223869727	0.273152223869727	0.983632473809885	0.831500489778941	1	0.273152223869727	0.273152223869727	0.273152223869727	0.273152223869727	0.273152223869727	0.710480249940163	0.983632473787056	0	0.273152223869727	0.273152223869727	0.273152223869727	0.273152223869727	0.273152223869727
"C4"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"C5"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"C6"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"C7"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
"C8"	0.983632473809895	1	0.983632473809885	0.983632473809884	0	0	0	0	0.983632473809885	1	1	0	0	0	0	0	0.983632473809889	0.983632473787056	0.273152223869727	0	0	0	0	0
