"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.216855972739594	0.714526095063391	0.854044023691072	0.85796848248631	0.927802605958133	0.984402597695675	0.841077283830883	0.226393400274856	0.181706027456939	0.24029051681143	0.726120841656065	0.85796848248631	0.934772902328901	0.984402597695675	0.984402597695675	0.490778730781819	0.153697012406107	0.495395941432723	0.75912681457689	0.879691988588682	0.984402597695675	0.984402597695675	0.85796848248631
"A2"	0.216855972739594	0	0.699821424590481	0.839339353218162	0.843263812013401	0.855215627143913	0.911815618881455	0.768490305016663	0.394622500869825	0.324096926470735	0.301479001384989	0.711416171183155	0.8432638120134	0.862185923514681	0.911815618881455	0.911815618881455	0.390044066479339	0.103485428434414	0.480691270959813	0.74442214410398	0.843263812013401	0.911815618881455	0.911815618881455	0.843263812013401
"A3"	0.714526095063391	0.699821424590481	0	0.233195245447896	0.435520814555091	0.535254575490782	0.591854567228324	0.448529253363532	0.783928040925123	0.757679196365728	0.474235578251961	0.208561589316934	0.39916908778948	0.54222487186155	0.591854567228324	0.591854567228323	0.656190268838046	0.636941635153385	0.296815833062795	0.251063112608503	0.487143958121331	0.591854567228324	0.591854567228324	0.425212939114675
"A4"	0.854044023691072	0.839339353218162	0.233195245447896	0	0.202325569107195	0.305698250474651	0.358659321780428	0.397574865937716	0.909821473681331	0.873654794484801	0.613753506879643	0.127923182035007	0.16821380105967	0.311269585131739	0.360899280498513	0.360899280498513	0.802840472220289	0.78234586052297	0.402141188057081	0.0949172091141821	0.25618867139152	0.360899280498513	0.360899280498513	0.194257652384864
"A5"	0.85796848248631	0.843263812013401	0.435520814555091	0.202325569107195	0	0.148294875392537	0.242266413016093	0.378119373708976	0.913362693037886	0.876917037986752	0.751777253430121	0.316338702863697	0.159643333800199	0.266347391106658	0.315977086473432	0.315977086473432	0.80741674501782	0.786435893228653	0.604466757164276	0.255357097682048	0.211266477366439	0.315977086473432	0.315977086473432	0.159643333800199
"A6"	0.927802605958133	0.855215627143913	0.535254575490782	0.305698250474651	0.148294875392537	0	0.29082752747294	0.378119373708976	0.948927228751887	0.952950721388552	0.851511014365812	0.416072463799388	0.307938209192737	0.314908505563504	0.364538200930278	0.364538200930278	0.916223297356297	0.860187133649415	0.704200518099967	0.355090858617739	0.307938209192737	0.364538200930278	0.364538200930278	0.307938209192737
"A7"	0.984402597695675	0.911815618881455	0.591854567228324	0.358659321780428	0.242266413016093	0.29082752747294	0	0.408375094017143	1	1	0.908111006103354	0.47267245553693	0.192685479438843	0.0737106734573386	0.0737106734573386	0.189511069167235	0.982223990966149	0.919175093372387	0.760800509837508	0.411690850355281	0.104710609106993	0.0737106734573386	0.0737106734573386	0.166641628113648
"A8"	0.841077283830883	0.768490305016663	0.448529253363532	0.397574865937716	0.378119373708976	0.378119373708976	0.408375094017143	0	0.870670988733992	0.880859476881776	0.764785692238562	0.413704181412952	0.403739283451039	0.403739283451039	0.433995003759206	0.353485529664383	0.815093752311861	0.769802848218312	0.678543690927443	0.389552620665973	0.403739283451039	0.433995003759206	0.433995003759206	0.403739283451039
"B1"	0.226393400274856	0.394622500869825	0.783928040925123	0.909821473681331	0.913362693037886	0.948927228751887	1	0.870670988733992	0	0.0758818737664843	0.356003504856438	0.794390513131011	0.913362693037887	0.955216847197885	1	1	0.695199848552995	0.373095693078298	0.58619684227338	0.824173317916981	0.913362693037887	1	1	0.913362693037886
"B2"	0.181706027456939	0.324096926470735	0.757679196365728	0.873654794484801	0.876917037986752	0.952950721388552	1	0.880859476881776	0.0758818737664843	0	0.363466385309106	0.767317439166143	0.876917037986752	0.958744846191137	1	1	0.539260981730853	0.276151282886381	0.575525183019815	0.794753966418563	0.912958315536614	1	1	0.876917037986752
"B3"	0.24029051681143	0.301479001384989	0.474235578251961	0.613753506879643	0.751777253430121	0.851511014365812	0.908111006103354	0.764785692238562	0.356003504856438	0.363466385309106	0	0.485830324844635	0.715425526664511	0.85848131073658	0.908111006103354	0.908111006103354	0.646726106164888	0.251999506330005	0.255105424621293	0.51883629776546	0.803400396996361	0.908111006103354	0.908111006103354	0.741469377989706
"B4"	0.726120841656065	0.711416171183155	0.208561589316934	0.127923182035007	0.316338702863697	0.416072463799388	0.47267245553693	0.413704181412952	0.794390513131011	0.767317439166143	0.485830324844635	0	0.279986976098087	0.423042760170156	0.47267245553693	0.47267245553693	0.773935318449046	0.649025567041189	0.288128054300579	0.0609816051816488	0.367961846429937	0.47267245553693	0.47267245553693	0.306030827423282
"B5"	0.85796848248631	0.8432638120134	0.39916908778948	0.16821380105967	0.159643333800199	0.307938209192737	0.192685479438843	0.403739283451039	0.913362693037887	0.876917037986752	0.715425526664511	0.279986976098087	0	0.143055784072069	0.192685479438843	0.192685479438843	0.80741674501782	0.786435893228653	0.568115030398665	0.219005370916438	0.0879748703318506	0.192685479438843	0.192685479438843	0.0260438513251948
"B6"	0.934772902328901	0.862185923514681	0.54222487186155	0.311269585131739	0.266347391106658	0.314908505563504	0.0737106734573386	0.403739283451039	0.955216847197885	0.958744846191137	0.85848131073658	0.423042760170156	0.143055784072069	0	0.0496296953667738	0.189511069167235	0.924351291389762	0.867451508589302	0.711170814470735	0.362061154988507	0.0550809137402187	0.0496296953667738	0.0496296953667738	0.117011932746874
"B7"	0.984402597695675	0.911815618881455	0.591854567228324	0.360899280498513	0.315977086473432	0.364538200930278	0.0737106734573386	0.433995003759206	1	1	0.908111006103354	0.47267245553693	0.192685479438843	0.0496296953667738	0	0.189511069167235	0.98222399096615	0.919175093372387	0.760800509837509	0.411690850355281	0.104710609106993	0	0	0.166641628113648
"B8"	0.984402597695675	0.911815618881455	0.591854567228323	0.360899280498513	0.315977086473432	0.364538200930278	0.189511069167235	0.353485529664383	1	1	0.908111006103354	0.47267245553693	0.192685479438843	0.189511069167235	0.189511069167235	0	0.98222399096615	0.919175093372387	0.760800509837508	0.411690850355281	0.189511069167235	0.189511069167235	0.189511069167235	0.189511069167235
"C1"	0.490778730781819	0.390044066479339	0.656190268838046	0.802840472220289	0.80741674501782	0.916223297356297	0.982223990966149	0.815093752311861	0.695199848552995	0.539260981730853	0.646726106164888	0.773935318449046	0.80741674501782	0.924351291389762	0.98222399096615	0.98222399096615	0	0.41043007319181	0.746778775455659	0.790873817093638	0.860121979689922	0.98222399096615	0.98222399096615	0.80741674501782
"C2"	0.153697012406107	0.103485428434414	0.636941635153385	0.78234586052297	0.786435893228653	0.860187133649415	0.919175093372387	0.769802848218312	0.373095693078298	0.276151282886381	0.251999506330005	0.649025567041189	0.786435893228653	0.867451508589302	0.919175093372387	0.919175093372387	0.41043007319181	0	0.408566324846035	0.683424070318351	0.810046717149069	0.919175093372387	0.919175093372387	0.786435893228653
"C3"	0.495395941432723	0.480691270959813	0.296815833062795	0.402141188057081	0.604466757164276	0.704200518099967	0.760800509837508	0.678543690927443	0.58619684227338	0.575525183019815	0.255105424621293	0.288128054300579	0.568115030398665	0.711170814470735	0.760800509837509	0.760800509837508	0.746778775455659	0.408566324846035	0	0.349109659482227	0.656089900730516	0.760800509837509	0.760800509837509	0.59415888172386
"C4"	0.75912681457689	0.74442214410398	0.251063112608503	0.0949172091141821	0.255357097682048	0.355090858617739	0.411690850355281	0.389552620665973	0.824173317916981	0.794753966418563	0.51883629776546	0.0609816051816488	0.219005370916438	0.362061154988507	0.411690850355281	0.411690850355281	0.790873817093638	0.683424070318351	0.349109659482227	0	0.306980241248288	0.411690850355281	0.411690850355281	0.245049222241633
