"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.122848811170118	0.827494883169896	0.840273098091172	0.840273098091172	0.983900265879204	0.983900265879203	0.983900265879203	0.417181338361429	0.303919241371425	0.108490083186416	0.873868403474969	0.968419426082026	0.983900265879203	0.983900265879203	0.983900265879203	0.622987845286946	0.478196848250328	0.640086612342295	0.840273098091172	0.983900265879203	0.983900265879203	0.983900265879203	0.894692223423549
"A2"	0.122848811170118	0	0.903663388866149	0.915720764313891	0.915720764313891	1	1	1	0.439955213286435	0.315582796747362	0.221045159419417	0.915720764313891	0.985392459053876	1	1	1	0.724958501050796	0.352737934032192	0.726827117344512	0.915720764313891	1	1	1	0.915824325426312
"A3"	0.827494883169896	0.903663388866149	0	0.210198101003149	0.623856272538731	0.826005234241013	0.826005234241014	0.826005234241014	0.90294549122134	0.680244687146867	0.723427953525689	0.715973371836779	0.810524394443836	0.826005234241014	0.826005234241014	0.826005234241013	0.348549753532139	0.953447362508618	0.373470694382375	0.478174378020733	0.826005234241014	0.826005234241014	0.826005234241014	0.736797191785359
"A4"	0.840273098091172	0.915720764313891	0.210198101003149	0	0.413658171535582	0.615807133237864	0.615807133237864	0.615807133237864	0.915193835583978	0.689284901734442	0.736206168446965	0.50577527083363	0.600326293440687	0.615807133237864	0.615807133237864	0.615807133237864	0.363552282845981	0.966225577429894	0.200186485748877	0.267976277017584	0.615807133237864	0.615807133237864	0.615807133237864	0.52659909078221
"A5"	0.840273098091172	0.915720764313891	0.623856272538731	0.413658171535582	0	0.202148961702282	0.202148961702282	0.202148961702282	0.915193835583977	0.856985501988899	0.736206168446964	0.092117099298048	0.186668121905105	0.202148961702282	0.202148961702282	0.202148961702282	0.738376083627727	0.966225577429894	0.450572063905234	0.145681894517998	0.202148961702282	0.202148961702282	0.202148961702282	0.112940919246628
"A6"	0.983900265879204	1	0.826005234241013	0.615807133237864	0.202148961702282	0	0.191418284518888	0.191418284518889	1	1	0.917011019973414	0.191418284518888	0.191418284518889	0.191418284518888	0.191418284518888	0.191418284518889	0.975713281537244	0.966225577429894	0.652721025607516	0.34783085622028	0.191418284518888	0.191418284518888	0.191418284518888	0.191418284518889
"A7"	0.983900265879203	1	0.826005234241014	0.615807133237864	0.202148961702282	0.191418284518888	0	0.0043587653665399	1	1	0.917011019973414	0.110031862404234	0.015480839797177	0	0	0.157676056011522	0.975713281537244	0.966225577429894	0.652721025607516	0.34783085622028	0	0	0	0.0892080424556543
"A8"	0.983900265879203	1	0.826005234241014	0.615807133237864	0.202148961702282	0.191418284518889	0.0043587653665399	0	1	1	0.917011019973414	0.110031862404234	0.015480839797177	0.0043587653665399	0.0043587653665399	0.157676056011522	0.975713281537244	0.966225577429894	0.652721025607516	0.34783085622028	0.0043587653665399	0.0043587653665399	0.0043587653665399	0.0892080424556543
"B1"	0.417181338361429	0.439955213286435	0.90294549122134	0.915193835583978	0.915193835583977	1	1	1	0	0.254145275323925	0.412941598453503	0.915193835583977	0.985161099728965	1	1	1	0.885040298075533	0.822683678639774	0.723308425195702	0.915193835583978	1	1	1	0.915193835583978
"B2"	0.303919241371425	0.315582796747362	0.680244687146867	0.689284901734442	0.856985501988899	1	1	1	0.254145275323925	0	0.351241433110635	0.922155664642276	0.989047757090911	1	1	1	0.525317088090906	0.593401573348096	0.547658798256618	0.753919808065216	1	1	1	0.936887910267192
