"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.144042039233601	0.503542746015189	0.33609809154507	0	0	0	0	0	0	0.00489513696184183	0.00489513696184183	0.00163171232061394	0.00163171232061394	0.00310025340916649	0.000163171232061394
"A2"	0.0990346758842132	0.534716252492089	0.509895816922307	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.906337219792163	0	0	0	0	0	0	0	0	0.0280988340623512	0.0280988340623512	0.00936627802078374	0.00936627802078374	0.0177959282394891	0.000936627802078374
"A4"	0.69106581017893	0	0	0	0	0	0	0	0	0.0926802569463211	0.0926802569463211	0.030893418982107	0.030893418982107	0.0586974960660034	0.0030893418982107
"A5"	0.189173314691804	0	0	0	0	0	0	0	0	0.243248005592459	0.243248005592459	0.0810826685308196	0.0810826685308196	0.154057070208557	0.00810826685308196
"A6"	0	0	0	0	0	0	0	0.143732612227829	0	0.256880216331651	0.256880216331651	0.0856267387772172	0.0856267387772172	0.162690803676713	0.00856267387772171
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0.0587512914673891	0.983632473748731	0	0	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.511773812524398	0.983632473981062	0.446461442350093	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.160942951709343	0.525475129409886	0.272279217332871	0	0	0	0	0	0	0.01239081046437	0.01239081046437	0.00413027015478999	0.00413027015478999	0.00784751329410099	0.000413027015478999
"B4"	0.0586879955398235	0	0	0	0	0	0	0	0	0.282393601338053	0.282393601338053	0.0941312004460177	0.0941312004460177	0.178849280847434	0.00941312004460177
"B5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.107112054167226	0	0	0	0.267866383749832	0.267866383749832	0.0892887945832774	0.0892887945832774	0.169648709708227	0.00892887945832774
"C1"	0.61811421671667	0	0.0969857115131769	0	0	0	0	0	0	0.00610912316869739	0.00610912316869739	0.0020363743895658	0.0020363743895658	0.00386911134017502	0.00020363743895658
"C2"	0	0.12139020183292	0.86224993369468	0	0	0	0	0	0	0.00490795934172017	0.00490795934172017	0.00163598644724006	0.00163598644724006	0.00310837424975611	0.000163598644724006
"C3"	0.446106875428305	0.158403604243344	0	0	0	0	0	0	0	0.118646856098505	0.118646856098505	0.0395489520328352	0.0395489520328352	0.0751430088623868	0.00395489520328352
"C4"	0.327536881358297	0	0	0	0	0	0	0	0	0.201738935592511	0.201738935592511	0.0672463118641703	0.0672463118641703	0.127767992541924	0.00672463118641704
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.0585926667536725	0	0	0	0	0	0	0	0	0.282422199973898	0.282422199973898	0.0941407333246328	0.0941407333246328	0.178867393316802	0.00941407333246328
