"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.209693844870814	0.662624668613613	0.827305123987457	0.860552119582544	0.941689214797274	0.984198279180371	0.838470381789333	0.233060386258925	0.153799785205993	0.2472761870673	0.688084268096827	0.860552119582544	0.921850844168125	0.984198279180371	0.984198279180371	0.513762870032781	0.112895093145865	0.472699967259598	0.707094085860298	0.863251315386451	0.984198279180371	0.984198279180371	0.860552119582543
"A2"	0.209693844870814	0	0.597421634081469	0.762102089455312	0.795349085050399	0.859014443849275	0.901523508232372	0.755795610841335	0.411995403753442	0.311777812264838	0.301713354553931	0.622881233564683	0.795349085050399	0.839176073220127	0.901523508232372	0.901523508232372	0.389237085692181	0.118135862876011	0.407352867584934	0.641891051328154	0.795349085050399	0.901523508232372	0.901523508232372	0.795349085050399
"A3"	0.662624668613613	0.597421634081469	0	0.199147564358394	0.420978548257839	0.527791580782746	0.570300645165844	0.424572747774806	0.744187289552204	0.724962631471319	0.447045133368285	0.153129549476472	0.333650864890318	0.507953210153598	0.570300645165843	0.570300645165844	0.650268149113691	0.573689484718051	0.275929029185582	0.229834475582904	0.449353681371924	0.570300645165843	0.570300645165843	0.435505518224457
"A4"	0.827305123987457	0.762102089455312	0.199147564358394	0	0.221830983899445	0.328644016424352	0.371153080807449	0.393208691999945	0.897484433154331	0.866912308371202	0.580028936920157	0.139220855890629	0.158729266318809	0.333031611582088	0.395379046594334	0.395379046594334	0.803401732992533	0.744175500073379	0.371967123635483	0.120211038127158	0.274432082800414	0.395379046594334	0.395379046594334	0.260583919652947
"A5"	0.860552119582544	0.795349085050399	0.420978548257839	0.221830983899445	0	0.131169931123373	0.21279995204226	0.381377000926335	0.928433275544336	0.89557023424286	0.763160497519825	0.360224286012834	0.17548364733035	0.262458309226109	0.324805744238354	0.324805744238354	0.828131397143079	0.778594568132641	0.59428823982003	0.272160777591581	0.203858780444435	0.324805744238354	0.324805744238354	0.190010617296968
"A6"	0.941689214797274	0.859014443849275	0.527791580782746	0.328644016424352	0.131169931123373	0	0.237156850640726	0.381377000926335	0.96042931668889	0.963358445051668	0.869973530044731	0.467037318537741	0.306653578453723	0.306653578453723	0.34916264283682	0.34916264283682	0.933949337475917	0.8765367010386	0.701337274163934	0.378973810116488	0.306653578453723	0.34916264283682	0.34916264283682	0.306653578453723
"A7"	0.984198279180371	0.901523508232372	0.570300645165844	0.371153080807449	0.21279995204226	0.237156850640726	0	0.403605693397642	1	1	0.912482594427829	0.509546382920838	0.236649780275525	0.112005792196094	0.112005792196094	0.157361921663271	0.982270681511813	0.920544358089981	0.743940261697429	0.421482874499585	0.120946963793919	0.112005792196094	0.112005792196094	0.134795126941386
"A8"	0.838470381789333	0.755795610841335	0.424572747774806	0.393208691999945	0.381377000926335	0.381377000926335	0.403605693397642	0	0.864345344670827	0.874386866960033	0.766754697036792	0.448683414049636	0.439189741518916	0.439189741518916	0.461418433990223	0.37070136669892	0.816617356329244	0.769679044438108	0.649387844242291	0.408206700567672	0.439189741518916	0.461418433990223	0.461418433990223	0.439189741518916
"B1"	0.233060386258925	0.411995403753442	0.744187289552204	0.897484433154331	0.928433275544336	0.96042931668889	1	0.864345344670827	0	0.0776603413948035	0.357549205050988	0.76788702896069	0.928433275544336	0.941962246360083	1	1	0.736003467032332	0.345525956392591	0.567585600528596	0.785582819010102	0.928433275544336	1	1	0.928433275544336
"B2"	0.153799785205993	0.311777812264838	0.724962631471319	0.866912308371202	0.89557023424286	0.963358445051668	1	0.874386866960033	0.0776603413948035	0	0.366944537444839	0.746908052453053	0.89557023424286	0.946258356916528	1	1	0.583031009396681	0.254776988871282	0.561421761036241	0.763293952548633	0.895747298040957	1	1	0.89557023424286
"B3"	0.2472761870673	0.301713354553931	0.447045133368285	0.580028936920157	0.763160497519825	0.869973530044731	0.912482594427829	0.766754697036792	0.357549205050988	0.366944537444839	0	0.440808081029527	0.675832814152304	0.850135159415583	0.912482594427829	0.912482594427829	0.686298695532503	0.205360996146661	0.224877427106321	0.490999719928244	0.791535630633909	0.912482594427829	0.912482594427829	0.777687467486443
"B4"	0.688084268096827	0.622881233564683	0.153129549476472	0.139220855890629	0.360224286012834	0.467037318537741	0.509546382920838	0.448683414049636	0.76788702896069	0.746908052453053	0.440808081029527	0	0.272896602645313	0.447198947908592	0.509546382920838	0.509546382920838	0.784214642244103	0.600046623812562	0.233268043563509	0.0880635084212528	0.388599419126918	0.509546382920838	0.509546382920838	0.374751255979452
"B5"	0.860552119582544	0.795349085050399	0.333650864890318	0.158729266318809	0.17548364733035	0.306653578453723	0.236649780275525	0.439189741518916	0.928433275544336	0.89557023424286	0.675832814152304	0.272896602645313	0	0.174302345263279	0.236649780275525	0.236649780275525	0.828131397143078	0.778594568132641	0.506767607224907	0.18483309422406	0.115702816481606	0.236649780275525	0.236649780275525	0.101854653334139
"B6"	0.921850844168125	0.839176073220127	0.507953210153598	0.333031611582088	0.262458309226109	0.306653578453723	0.112005792196094	0.439189741518916	0.941962246360083	0.946258356916528	0.850135159415583	0.447198947908592	0.174302345263279	0	0.0623474350122455	0.157361921663271	0.91139845929983	0.855998958705863	0.681455070947659	0.359135439487339	0.0585995287816739	0.0623474350122455	0.0623474350122455	0.0724476919291406
"B7"	0.984198279180371	0.901523508232372	0.570300645165843	0.395379046594334	0.324805744238354	0.34916264283682	0.112005792196094	0.461418433990223	1	1	0.912482594427829	0.509546382920838	0.236649780275525	0.0623474350122455	0	0.157361921663271	0.982270681511813	0.92054435808998	0.743940261697429	0.421482874499585	0.120946963793919	0	0	0.134795126941386
"B8"	0.984198279180371	0.901523508232372	0.570300645165844	0.395379046594334	0.324805744238354	0.34916264283682	0.157361921663271	0.37070136669892	1	1	0.912482594427829	0.509546382920838	0.236649780275525	0.157361921663271	0.157361921663271	0	0.982270681511813	0.92054435808998	0.743940261697429	0.421482874499585	0.157361921663271	0.157361921663271	0.157361921663271	0.157361921663271
"C1"	0.513762870032781	0.389237085692181	0.650268149113691	0.803401732992533	0.828131397143079	0.933949337475917	0.982270681511813	0.816617356329244	0.736003467032332	0.583031009396681	0.686298695532503	0.784214642244103	0.828131397143078	0.91139845929983	0.982270681511813	0.982270681511813	0	0.479363676602557	0.745518031495526	0.792912033865852	0.844786595884493	0.982270681511813	0.982270681511813	0.829044968412212
"C2"	0.112895093145865	0.118135862876011	0.573689484718051	0.744175500073379	0.778594568132641	0.8765367010386	0.920544358089981	0.769679044438108	0.345525956392591	0.254776988871282	0.205360996146661	0.600046623812562	0.778594568132641	0.855998958705863	0.92054435808998	0.92054435808998	0.479363676602557	0	0.376850515220378	0.619726603903508	0.795333592308812	0.92054435808998	0.92054435808998	0.780997233148021
