"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.143234635239575	0.506183689563256	0.334214148892341	0	0	0	0	0	0	0.00491025789144865	0.00491025789144865	0.00163675263048289	0.00163675263048289	0.00310982999791748	0.000163675263048289
"A2"	0.104539268469311	0.547720198798417	0.503581668521414	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.929037914345034	0	0	0	0	0	0	0	0	0.0212886256964898	0.0212886256964898	0.00709620856549661	0.00709620856549661	0.0134827962744436	0.000709620856549661
"A4"	0.738281594288564	0	0	0	0	0	0	0	0	0.0785155217134307	0.0785155217134307	0.0261718405711436	0.0261718405711436	0.0497264970851728	0.00261718405711436
"A5"	0.176364069315955	0	0	0	0	0	0	0	0	0.247090779205214	0.247090779205214	0.0823635930684046	0.0823635930684046	0.156490826829969	0.00823635930684045
"A6"	0	0	0	0	0	0	0	0.114032661909444	0	0.265790201427167	0.265790201427167	0.0885967338090556	0.0885967338090556	0.168333794237206	0.00885967338090556
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0.0404813042195785	0.983632473695171	0	0	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.558340483946679	0.983632473817602	0.451281135144691	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.146806941410567	0.534938701503509	0.302870924873265	0	0	0	0	0	0	0.00461502966379804	0.00461502966379804	0.00153834322126601	0.00153834322126601	0.00292285212040543	0.000153834322126601
"B4"	0.034827582158275	0	0	0	0	0	0	0	0	0.289551725352517	0.289551725352517	0.0965172417841725	0.0965172417841725	0.183382759389928	0.00965172417841725
"B5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.0764563012785184	0	0	0	0.277063109616444	0.277063109616444	0.0923543698721482	0.0923543698721482	0.175473302757082	0.00923543698721482
"C1"	0.681604730363798	0	0.0616659803471054	0	0	0	0	0	0	0.00596017836477363	0.00596017836477363	0.00198672612159121	0.00198672612159121	0.0037747796310233	0.000198672612159121
"C2"	0	0.0911643582598132	0.892474698984839	0	0	0	0	0	0	0.00490828282660432	0.00490828282660432	0.00163609427553477	0.00163609427553477	0.00310857912351607	0.000163609427553477
"C3"	0.441549225500206	0.130559925848385	0	0	0	0	0	0	0	0.128367254595423	0.128367254595423	0.0427890848651409	0.0427890848651409	0.0812992612437678	0.00427890848651409
"C4"	0.310003043388832	0	0	0	0	0	0	0	0	0.20699908698335	0.20699908698335	0.0689996956611168	0.0689996956611168	0.131099421756122	0.00689996956611168
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.04250493301869	0	0	0	0	0	0	0	0	0.287248520094393	0.287248520094393	0.095749506698131	0.095749506698131	0.181924062726449	0.0095749506698131
