"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.144043534816352	0.503636919160934	0.336101581238155	0	0	0	0	0	0	0.00486538943536738	0.00486538943536738	0.00162179647845579	0.00162179647845579	0.00308141330906601	0.000162179647845579
"A2"	0.094390787820648	0.52393995943302	0.514509244093092	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.861362896093405	0	0.00296963649066579	0	0	0	0	0	0	0.0407002402247787	0.0407002402247787	0.0135667467415929	0.0135667467415929	0.0257768188090265	0.00135667467415929
"A4"	0.650123819429036	0	0	0	0	0	0	0	0	0.104962854171289	0.104962854171289	0.0349876180570964	0.0349876180570964	0.0664764743084832	0.00349876180570964
"A5"	0.197624883198195	0	0	0	0	0	0	0	0	0.240712535040542	0.240712535040542	0.0802375116801805	0.0802375116801805	0.152451272192343	0.00802375116801805
"A6"	0	0	0	0	0	0	0	0.169276504190866	0	0.24921704874274	0.24921704874274	0.0830723495809134	0.0830723495809134	0.157837464203736	0.00830723495809134
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0.0754372726043748	0.983632473792551	0.00381717158027015	0	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.472516684205504	0.983632474034129	0.427038682055523	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.172119675512134	0.517052423137301	0.247348145128531	0	0	0	0	0	0	0.0190439268666101	0.0190439268666101	0.00634797562220337	0.00634797562220337	0.0120611536821864	0.000634797562220337
"B4"	0.0818408296233996	0	0	0	0	0	0	0	0	0.27544775111298	0.27544775111298	0.0918159170376601	0.0918159170376601	0.174450242371554	0.009181591703766
"B5"	0.00376978866437016	0	0	0	0	0	0	0	0	0.298869063400689	0.298869063400689	0.099623021133563	0.099623021133563	0.18928374015377	0.0099623021133563
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.134020280399155	0	0	0	0.259793915880253	0.259793915880253	0.0865979719600845	0.0865979719600845	0.164536146724161	0.00865979719600845
"C1"	0.565522603525861	0	0.130407503571836	0	0	0	0	0	0	0.00620054607780089	0.00620054607780089	0.0020668486926003	0.0020668486926003	0.00392701251594057	0.00020668486926003
"C2"	0	0.147913081671256	0.833817340703632	0	0	0	0	0	0	0.00548087328753378	0.00548087328753378	0.00182695776251126	0.00182695776251126	0.0034712197487714	0.000182695776251126
"C3"	0.449764335363209	0.181267145703973	0	0	0	0	0	0	0	0.110690555679846	0.110690555679846	0.0368968518932818	0.0368968518932818	0.0701040185972355	0.00368968518932818
"C4"	0.339837811477489	0	0	0	0	0	0	0	0	0.198048656556753	0.198048656556753	0.0660162188522512	0.0660162188522512	0.125430815819277	0.00660162188522512
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.073026483995253	0	0	0	0	0	0	0	0	0.278092054801424	0.278092054801424	0.0926973516004747	0.0926973516004747	0.176124968040902	0.00926973516004747
