"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.337010687407083	0.919772313862824	0.919772313862821	0.983632474230776	0.983632474230776	0.983632474230776	0.983632474230776	0.212867201226519	0.397648226211717	0.265682215935454	0.983632474230776	0.983632474230776	0.983632474230776	0.983632474230776	0.983632474230776	0.919772313862821	0.834625433706219	0.919772313862821	0.983632474230776	0.983632474230776	0.983632474230776	0.983632474230776	0.983632474230776
"A2"	0.337010687407083	0	0.801103206222129	0.801103206222129	1	1	1	1	0.337010687407098	0.321619775646008	0.133095746963031	1	1	1	1	1	0.801103206222129	0.535907481184969	0.941722031757954	1	1	1	1	1
"A3"	0.919772313862824	0.801103206222129	0	1.95393966848437e-14	0.98363247423078	0.98363247423078	0.98363247423078	0.98363247423078	0.98363247423078	0.355365886876256	1	0.98363247423078	0.98363247423078	0.98363247423078	0.98363247423078	0.98363247423078	1.70977056297705e-14	0.983632474564783	0.897169388014692	0.98363247423078	0.98363247423078	0.98363247423078	0.98363247423078	0.98363247423078
"A4"	0.919772313862821	0.801103206222129	1.95393966848437e-14	0	0.98363247423076	0.98363247423076	0.98363247423076	0.98363247423076	0.98363247423076	0.355365886876268	1	0.98363247423076	0.98363247423076	0.98363247423076	0.98363247423076	0.98363247423076	2.44169105507314e-15	0.983632474564783	0.897169388014673	0.98363247423076	0.98363247423076	0.98363247423076	0.98363247423076	0.98363247423076
"A5"	0.983632474230776	1	0.98363247423078	0.98363247423076	0	0	0	0	0.983632474230754	1	1	0	0	0	0	0	0.983632474230763	0.983632474564783	0.0864630862160876	0	0	0	0	0
"A6"	0.983632474230776	1	0.98363247423078	0.98363247423076	0	0	0	0	0.983632474230754	1	1	0	0	0	0	0	0.983632474230763	0.983632474564783	0.0864630862160876	0	0	0	0	0
"A7"	0.983632474230776	1	0.98363247423078	0.98363247423076	0	0	0	0	0.983632474230754	1	1	0	0	0	0	0	0.983632474230763	0.983632474564783	0.0864630862160876	0	0	0	0	0
"A8"	0.983632474230776	1	0.98363247423078	0.98363247423076	0	0	0	0	0.983632474230754	1	1	0	0	0	0	0	0.983632474230763	0.983632474564783	0.0864630862160876	0	0	0	0	0
"B1"	0.212867201226519	0.337010687407098	0.98363247423078	0.98363247423076	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230754	0	0.355365886876273	0.251178225579868	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230763	0.983632474564783	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230754	0.983632474230754
"B2"	0.397648226211717	0.321619775646008	0.355365886876256	0.355365886876268	1	1	1	1	0.355365886876273	0	0.425094978997255	1	1	1	1	1	0.355365886876267	0.944628973724315	0.943335487226124	1	1	1	1	1
