"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.113374133177383	0.850740045805807	0.850740045805804	0.933721477669691	0.983632474550993	0.983632474550993	0.983632474550993	0.442974762483964	0.393424038824632	0.165750870484546	0.983632474550993	0.983632474550993	0.983632474550993	0.983632474550993	0.983632474550993	0.848460499032879	0.673550140812218	0.850740045805804	0.850740045805803	0.983632474550993	0.983632474550993	0.983632474550993	0.983632474550993
"A2"	0.113374133177383	0	0.87237649306024	0.87237649306024	0.955011264858793	1	1	1	0.41913556167448	0.309123563226675	0.0931818735273983	1	1	1	1	1	0.870622249914609	0.609867159313029	0.872376493060241	0.87237649306024	1	1	1	1
"A3"	0.850740045805807	0.87237649306024	0	0.00305710098431977	0.933721477669695	0.983632474550996	0.983632474550996	0.983632474550996	0.983632474550996	0.47603068019148	0.976814915386236	0.983632474550996	0.983632474550996	0.983632474550996	0.983632474550996	0.983632474550996	0.0152723266279421	0.983632474550996	0.580918336233321	0.808285239695678	0.983632474550996	0.983632474550996	0.983632474550996	0.983632474550996
"A4"	0.850740045805804	0.87237649306024	0.00305710098431977	0	0.930664376685375	0.980575373566676	0.980575373566676	0.980575373566676	0.983632474550991	0.47603068019148	0.976814915386236	0.980575373566676	0.980575373566676	0.980575373566676	0.980575373566676	0.980575373566676	0.0152723266279374	0.983632473748731	0.577861235249001	0.805228138711358	0.980575373566676	0.980575373566676	0.980575373566676	0.980575373566676
"A5"	0.933721477669691	0.955011264858793	0.933721477669695	0.930664376685375	0	0.0499109968813015	0.0499109968813015	0.0499109968813015	0.983632474550991	0.96922141990044	0.976814915386236	0.0499109968813015	0.0499109968813015	0.0499109968813015	0.0499109968813015	0.0499109968813015	0.932709250428244	0.983632473748731	0.352803141436374	0.125436237974016	0.0499109968813015	0.0499109968813015	0.0499109968813015	0.0499109968813015
"A6"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"A7"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"A8"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"B1"	0.442974762483964	0.41913556167448	0.983632474550996	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0	0.393424039319361	0.434410552155364	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0.983382504356243	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991	0.983632474550991
"B2"	0.393424038824632	0.309123563226675	0.47603068019148	0.47603068019148	0.96922141990044	1	1	1	0.393424039319361	0	0.384928688627166	1	1	1	1	1	0.471124671655585	0.747214592319532	0.751658549459277	0.891868741350412	1	1	1	1
"B3"	0.165750870484546	0.0931818735273983	0.976814915386236	0.976814915386236	0.976814915386236	1	1	1	0.434410552155364	0.384928688627166	0	1	1	1	1	1	0.976477579190429	0.542137488510934	0.976814915386236	0.976814915386236	1	1	1	1
"B4"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"B5"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"B6"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"B7"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"B8"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
"C1"	0.848460499032879	0.870622249914609	0.0152723266279421	0.0152723266279374	0.932709250428244	0.983382504356243	0.983382504356243	0.983382504356243	0.983382504356243	0.471124671655585	0.976477579190429	0.983382504356243	0.983382504356243	0.983382504356243	0.983382504356243	0.983382504356243	0	0.983382504356243	0.574517984180492	0.805357309256909	0.983382504356243	0.983382504356243	0.983382504356243	0.983382504356243
"C2"	0.673550140812218	0.609867159313029	0.983632474550996	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731	0.983632474550991	0.747214592319532	0.542137488510934	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731	0.983382504356243	0	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731	0.983632473748731
"C3"	0.850740045805804	0.872376493060241	0.580918336233321	0.577861235249001	0.352803141436374	0.402714138317675	0.402714138317675	0.402714138317675	0.983632474550991	0.751658549459277	0.976814915386236	0.402714138317675	0.402714138317675	0.402714138317675	0.402714138317675	0.402714138317675	0.574517984180492	0.983632473748731	0	0.227366903462358	0.402714138317675	0.402714138317675	0.402714138317675	0.402714138317675
"C4"	0.850740045805803	0.87237649306024	0.808285239695678	0.805228138711358	0.125436237974016	0.175347234855318	0.175347234855318	0.175347234855318	0.983632474550991	0.891868741350412	0.976814915386236	0.175347234855318	0.175347234855318	0.175347234855318	0.175347234855318	0.175347234855318	0.805357309256909	0.983632473748731	0.227366903462358	0	0.175347234855318	0.175347234855318	0.175347234855318	0.175347234855318
"C5"	0.983632474550993	1	0.983632474550996	0.980575373566676	0.0499109968813015	0	0	0	0.983632474550991	1	1	0	0	0	0	0	0.983382504356243	0.983632473748731	0.402714138317675	0.175347234855318	0	0	0	0
