"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"A1"	0	0.124051225586884	0.836768863908424	0.83973850039909	0.83973850039909	0.983782035215442	0.983782035215442	0.983782035215442	0.434878026259293	0.317573401589589	0.0887534361096249	0.901941205592042	0.980012246551072	0.983782035215442	0.983782035215442	0.983782035215442	0.661343072067397	0.499767372306031	0.658471354695117	0.83973850039909	0.983782035215442	0.983782035215442	0.983782035215442	0.910755551220189
"A2"	0.124051225586884	0	0.908703489519777	0.9114881676979	0.9114881676979	1	1	1	0.450574294046993	0.306790595005819	0.194696874054575	0.923256474976614	0.99646500564537	1	1	1	0.756901047517126	0.378835422767867	0.741510910670275	0.9114881676979	1	1	1	0.931521835401125
"A3"	0.836768863908424	0.908703489519777	0	0.214208713155035	0.666707649385876	0.864332532584071	0.864332532584071	0.864332532584071	0.923983318317881	0.67016625552396	0.761430931775166	0.782491702960671	0.860562743919701	0.864332532584071	0.864332532584071	0.864332532584071	0.31357193348092	0.978760785884222	0.414568197220862	0.524494721106582	0.864332532584071	0.864332532584071	0.864332532584071	0.791306048588818
"A4"	0.83973850039909	0.9114881676979	0.214208713155035	0	0.452498936230841	0.650123819429036	0.650123819429036	0.650123819429036	0.926862425713237	0.672226222931676	0.764400568265832	0.568282989805637	0.646354030764666	0.650123819429036	0.650123819429036	0.650123819429036	0.317031841348728	0.981730422374887	0.200359484065827	0.310286007951547	0.650123819429036	0.650123819429036	0.650123819429036	0.577097335433783
"A5"	0.83973850039909	0.9114881676979	0.666707649385876	0.452498936230841	0	0.197624883198195	0.197624883198195	0.197624883198195	0.926862425713237	0.862912238712852	0.764400568265832	0.115784053574795	0.193855094533825	0.197624883198195	0.197624883198195	0.197624883198195	0.74566754174892	0.981730422374887	0.433406597868987	0.142212928279294	0.197624883198195	0.197624883198195	0.197624883198195	0.124598399202942
"A6"	0.983782035215442	1	0.864332532584071	0.650123819429036	0.197624883198195	0	0.169276504190866	0.169276504190866	1	1	0.936520243777966	0.169276504190866	0.169276504190866	0.169276504190866	0.169276504190866	0.169276504190866	0.975919254509517	0.981730422374887	0.631031481067181	0.339837811477489	0.169276504190866	0.169276504190866	0.169276504190866	0.169276504190866
"A7"	0.983782035215442	1	0.864332532584071	0.650123819429036	0.197624883198195	0.169276504190866	0	0	1	1	0.936520243777966	0.0818408296233996	0.00376978866437019	0	0	0.134020280399155	0.975919254509516	0.981730422374887	0.631031481067181	0.339837811477488	0	0	0	0.073026483995253
"A8"	0.983782035215442	1	0.864332532584071	0.650123819429036	0.197624883198195	0.169276504190866	0	0	1	1	0.936520243777966	0.0818408296233996	0.00376978866437019	0	0	0.134020280399155	0.975919254509516	0.981730422374887	0.631031481067181	0.339837811477488	0	0	0	0.073026483995253
"B1"	0.434878026259293	0.450574294046993	0.923983318317881	0.926862425713237	0.926862425713237	1	1	1	0	0.278438596988966	0.421871492687863	0.926862425713237	0.996345132996367	1	1	1	0.910924316438487	0.852895229564684	0.75112119227547	0.926862425713237	1	1	1	0.929199721653322
"B2"	0.317573401589589	0.306790595005819	0.67016625552396	0.672226222931676	0.862912238712852	1	1	1	0.278438596988966	0	0.3503578013966	0.943228929811926	0.9973849857358	1	1	1	0.536174064285934	0.601169403053586	0.562268214198224	0.764262455100602	1	1	1	0.949343235307362
