"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.132892428745189	0.540657712067029	0.310082333738775	0	0	0	0	0	0	0.0049102576347022	0.0049102576347022	0.00163675254490073	0.00163675254490073	0.00310982983531139	0.000163675254490073
"A2"	0.141586920300338	0.644417387568856	0.432817658324994	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.983632474550996	0	0	0	0	0	0	0	0	0.0049102576347012	0.0049102576347012	0.0016367525449004	0.0016367525449004	0.00310982983531076	0.00016367525449004
"A4"	0.980575373566676	0	0	0	0	0	0	0	0	0.00582738792999713	0.00582738792999713	0.00194246264333238	0.00194246264333238	0.00369067902233152	0.000194246264333238
"A5"	0.0499109968813015	0	0	0	0	0	0	0	0	0.28502670093561	0.28502670093561	0.0950089003118699	0.0950089003118699	0.180516910592553	0.00950089003118698
"A6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B1"	0	0.983632474550991	0	0	0	0	0	0	0	0.0049102576347027	0.0049102576347027	0.0016367525449009	0.0016367525449009	0.00310982983531171	0.00016367525449009
"B2"	0.849676333419763	0.983632473748732	0.40992052438958	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.0243192631584553	0.59325721044008	0.480260438673721	0	0	0	0	0	0	0	0	0	0	0	0
"B4"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C1"	0.95354729202925	0	0	0	0	0	0	0	0	0.0049102576347026	0.0049102576347026	0.00163675254490087	0.00163675254490087	0.00310982983531165	0.000163675254490087
"C2"	0	0	0.983632473748731	0	0	0	0	0	0	0.00491025787538067	0.00491025787538067	0.00163675262512689	0.00163675262512689	0.00310982998774109	0.000163675262512689
"C3"	0.402714138317675	0	0	0	0	0	0	0	0	0.179185758504697	0.179185758504697	0.0597285861682325	0.0597285861682325	0.113484313719642	0.00597285861682325
"C4"	0.175347234855318	0	0	0	0	0	0	0	0	0.247395829543405	0.247395829543405	0.0824652765144682	0.0824652765144682	0.15668402537749	0.00824652765144682
"C5"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
