"ArtCal"	"MalLau"	"SalMel"	"LeyCon"	"MalFas"	"EriFas"	"OpuLit"	"RhusInt"	"SamCer"	"DeiFas"	"ShoGra"	"BraNig"	"Steph"	"Stalk1"	"CroSet"
"A1"	0.141378375839075	0.513019481417481	0.329882876957841	0	0	0	0	0	0	0.00471577973568074	0.00471577973568074	0.00157192657856025	0.00157192657856025	0.00298666049926447	0.000157192657856025
"A2"	0.0739302408062735	0.491602025931064	0.502729782071118	0	0	0	0	0	0	0	0	0	0	0	0
"A3"	0.687006932127885	0	0.0438848186789454	0	0	0	0	0	0	0.0807324747579509	0.0807324747579509	0.026910824919317	0.026910824919317	0.0511305673467023	0.0026910824919317
"A4"	0.539805097301418	0	0	0	0	0	0	0	0	0.138058470809575	0.138058470809575	0.0460194902698582	0.0460194902698582	0.0874370315127305	0.00460194902698582
"A5"	0.199305070800118	0	0	0	0	0	0	0.0227453603111317	0	0.233384870666625	0.233384870666625	0.077794956888875	0.077794956888875	0.147810418088863	0.0077794956888875
"A6"	0.00292549429251532	0	0	0	0	0	0	0.240223066217773	0	0.227055431846913	0.227055431846913	0.0756851439489711	0.0756851439489711	0.143801773503045	0.00756851439489711
"A7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"A8"	0	0	0	0	0	0.0142810054895684	0.0549170112048585	0	0	0.279240594991672	0.279240594991672	0.0930801983305573	0.0930801983305573	0.176852376828059	0.00930801983305573
"B1"	0.108554139858267	0.983632474016151	0.0579420292972931	0	0	0	0	0	0	0	0	0	0	0	0
"B2"	0.366633304696862	0.983632473844458	0.380458299039803	0	0	0	0	0	0	0	0	0	0	0	0
"B3"	0.202534181141784	0.490474877204635	0.18396254689292	0	0	0	0	0	0	0.0369085184281983	0.0369085184281983	0.0123028394760661	0.0123028394760661	0.0233753950045256	0.00123028394760661
"B4"	0.195548696718473	0	0	0	0	0	0	0	0	0.241335390984458	0.241335390984458	0.0804451303281527	0.0804451303281527	0.15284574762349	0.00804451303281527
"B5"	0.0595296123458299	0	0	0	0	0	0	0	0	0.282141116296251	0.282141116296251	0.094047038765417	0.094047038765417	0.178689373654292	0.0094047038765417
"B6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"B8"	0	0	0	0	0	0.211684546029534	0	0	0	0.23649463619114	0.23649463619114	0.0788315453970466	0.0788315453970466	0.149779936254389	0.00788315453970466
"C1"	0.423644714983614	0	0.239744472318791	0	0	0	0	0	0	0.00589051893579562	0.00589051893579562	0.00196350631193187	0.00196350631193187	0.00373066199267056	0.000196350631193187
"C2"	0.0121643497361129	0.221742134586043	0.674935647863464	0	0	0	0	0	0	0.0254258559972541	0.0254258559972541	0.00847528533241803	0.00847528533241803	0.0161030421315942	0.000847528533241803
"C3"	0.455941968433611	0.241381477967594	0	0	0	0	0	0	0	0.0908029660796385	0.0908029660796385	0.0302676553598795	0.0302676553598795	0.0575085451837711	0.00302676553598795
"C4"	0.357900017151494	0	0	0	0	0	0	0	0	0.192629994854552	0.192629994854552	0.0642099982848506	0.0642099982848506	0.121998996741216	0.00642099982848506
"C5"	0.000469632365800774	0	0	0	0	0	0	0	0	0.29985911029026	0.29985911029026	0.0999530367634199	0.0999530367634199	0.189910769850498	0.00999530367634199
"C6"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C7"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.1	0.1	0.19	0.01
"C8"	0.133032497011772	0	0	0	0	0	0	0	0	0.260090250896468	0.260090250896468	0.0866967502988228	0.0866967502988228	0.164723825567763	0.00866967502988228
