SampleID,Full Litterbag (g),Empty Litterbag (g),Ground Litter (g),Initials,Notes
GCT2A1,9.49,6.36,3.08,CW,
GCT2A2,8.72,6.33,2.37,CW,
GCT2A3,9.03,6.28,2.72,CW,
GCT2A4,9.05,6.19,2.69,CW,
GCT2A5,9.17,6.28,2.88,KW,
GCT2A7,8.89,6.19,2.64,CW,
GCT2A8,9.76,6.43,3.23,CW,
GCT2B1,9.63,6.25,3.33,CW,
GCT2B2,9.58,6.33,3.19,CW,
GCT2B3,9.17,6.33,2.79,CW,
GCT2B4,8.88,6.31,2.55,CW,
GCT2B5,9.03,6.24,2.76,KW,
GCT2B6,9.54,6.28,3.23,CW,
GCT2B7,9.18,6.35,2.77,KW,
GCT2B8,8.95,6.16,2.78,CW,
GCT2C1,9.59,6.3,3.29,CW,
GCT2C2,9.33,6.17,3.01,CW,
GCT2C3,9.53,6.29,3.14,CW,
GCT2C4,8.93,6.23,2.67,CW,
GCT2C5,9.24,6.27,2.92,KW,
GCT2C6,8.84,6.26,2.56,KW,
GCT2C7,9.5,6.21,3.24,CW,
GCT2C8,9.7,6.27,3.38,KW,
GOT2A1,6.46,3.17,3.26,KW,
GOT2A2,5.71,3.12,2.63,KW,
GOT2A3,6.11,3.09,2.9,CW,
GOT2A4,6.34,3.1,3.2,CW,
GOT2A5,6.66,3.15,3.45,CW,
GOT2A6,6.28,3.06,3.16,CW,
GOT2A7,5.83,3.09,2.71,CW,
GOT2A8,6.34,3.1,3.24,KW,
GOT2B1,6.54,3.15,3.34,KW,
GOT2B2,6.51,3.16,3.36,CW,
GOT2B3,6.5,3.12,3.39,KW,
GOT2B4,6.31,3.08,3.18,KW,
GOT2B5,5.76,3.1,2.63,KW,
GOT2B6,6.47,3.06,3.35,CW,
GOT2B7,5.8,3.07,2.7,KW,
GOT2B8,6.53,3.08,3.36,CW,
GOT2C1,5.88,3.12,2.7,KW,
GOT2C2,6.08,3.11,2.96,KW,
GOT2C3,5.96,3.05,2.9,KW,
GOT2C4,5.85,3.06,2.7,CW,
GOT2C5,6.38,3.15,3.19,KW,
GOT2C6,6.31,3.21,3.08,KW,
GOT2C7,6.01,3.11,2.76,CW,
GOT2C8,5.86,3.16,2.59,CW,
SCT2A1,8.54,6.26,2.22,CW,
SCT2A2,8.61,6.21,2.33,CW,
SCT2A3,8.52,6.19,2.29,KW,
SCT2A4,9,6.67,2.29,KW,
SCT2A5,8.5,6.24,2.25,KW,
SCT2A6,8.56,6.19,2.33,KW,
SCT2A7,8.74,6.19,2.48,KW,
SCT2A8,8.69,6.32,1.96,CW,
SCT2B8,8.87,6.45,2.31,CW,"Originally ""SCT2A8"" but ID already existed and because litter in envelope weight was heavier this was reassigned to B8 which was missing and had heavier litter + envelope mass measured by person 2"
SCT2B1,8.67,6.59,2.02,CW,
SCT2B2,8.6,6.21,2.37,KW,
SCT2B3,8.69,6.26,2.4,KW,
SCT2B4,9,6.51,2.43,KW,
SCT2B5,8.46,6.1,2.34,KW,
SCT2B6,8.68,6.39,2.26,KW,
SCT2B7,8.54,6.21,2.33,CW,
SCT2C1,8.6,6.33,2.25,KW,
SCT2C2,8.49,6.21,2.25,KW,
SCT2C3,9.03,6.68,2.33,KW,
SCT2C4,9.8,7.49,2.3,CW,
SCT2C5,8.63,6.18,2.42,KW,water in whirlpack
SCT2C6,8.58,6.19,2.35,KW,
SCT2C7,8.57,6.26,2.29,KW,
SCT2C8,9.09,6.65,2.39,KW,
SOT2A1,5.53,3.1,2.4,KW,
SOT2A2,5.43,3.12,2.25,CW,
SOT2A3,5.44,3.09,2.29,CW,
SOT2A4,5.47,3.13,2.27,CW,
SOT2A5,5.49,3.15,2.3,KW,
SOT2A6,5.4,3.09,2.22,CW,
SOT2A7,5.42,3.05,2.3,CW,
SOT2A8,5.61,3.19,2.37,KW,
SOT2B1,5.36,3.1,2.25,KW,
SOT2B2,5.38,3.11,2.19,CW,
SOT2B3,5.46,3.1,2.31,KW,
SOT2B4,5.43,3.09,2.29,CW,
SOT2B5,5.41,3.13,2.23,CW,
SOT2B6,5.37,3.1,2.22,KW,
SOT2B7,5.41,3.07,2.3,KW,
SOT2B8,5.35,3.09,2.22,KW,
SOT2C1,5.65,3.12,2.48,KW,
SOT2C2,5.27,3.05,,CW,
SOT2C3,5.29,3.09,2.18,KW,
SOT2C4,5.67,3.09,2.53,CW,
SOT2C5,5.68,3.16,2.48,CW,
SOT2C6,5.57,3.19,2.35,KW,
SOT2C7,5.4,3.08,2.27,CW,
SOT2C8,5.6,3.29,2.27,CW,
