Old_Sample_ID,Mass_Loss?,Initial Green Litter Mass (g),Initials,Notes:
GCT2A3,Y,5.002,CW,
GCT2A4,Y,4.994,CW,
GCT2B1,Y,5.005,CW,
GCT2B2,Y,5.103,CW,switched weights with GCT4B2
GCT2B3,Y,4.952,CW,
GCT2B4,Y,5.026,CW,
GCT2C1,Y,5.09,CW,
GCT2C2,Y,4.996,CW,
GCT2C3,Y,5.025,CW,
GCT2C4,Y,4.952,CW,
GCT2A5,Y,5.11,CW,
GCT2A6,Y,,CW,not made because not enough nylon
GCT2A7,Y,5.124,CW,
GCT2A8,Y,5.09,CW,
GCT2B5,Y,5.065,CW,
GCT2B6,Y,5.083,CW,
GCT2B7,Y,5.107,CW,
GCT2B8,Y,5.062,CW,
GCT2C5,Y,5.098,CW,
GCT2C6,Y,5.133,CW,
GCT2C7,Y,4.999,CW,
GCT2C8,Y,5.1,CW,
SOT4A1,Y,4.97,KW,
SOT4A2,Y,4.83,KW,5.05 but left a leaf out 0.21g
SOT4A3,Y,5.14,KW,
SOT4A4,Y,4.96,KW,
SOT4B1,Y,4.81,KW,
SOT4B2,Y,5.06,KW,
SOT4B3,Y,4.6,KW,(left 0.23g leaf out)
SOT4B4,Y,4.88,KW,
SOT4C1,Y,4.99,KH,
SOT4C2,Y,5.17,KH,
SOT4C3,Y,4.98,KH,
SOT4C4,Y,5.12,KH,
SOT4A5,Y,4.78,KH,
SOT4A6,Y,4.94,KH,
SOT4A7,Y,4.98,KH,
SOT4A8,Y,4.97,KH,
SOT4B5,Y,5.26,KH,
SOT4B6,Y,4.84,KH,
SOT4B7,Y,4.93,KH,
SOT4B8,Y,5.06,KH,
SOT4C5,Y,5.06,KH,
SOT4C6,Y,5.28,KH,
SOT4C7,Y,4.87,KH,
SOT4C8,Y,4.84,KH,
SCT4A1,Y,4.98,CW,
SCT4A2,Y,4.98,CW,
SCT4A3,Y,5.03,CW,
SCT4A4,Y,5.15,CW,
SCT4B1,Y,4.99,CW,
SCT4B2,Y,5.1,CW,
SCT4B3,Y,5.12,CW,glue on one side not attaching
SCT4B4,Y,5.1,CW,
SCT4C1,Y,5.16,CW,
SCT4C2,Y,5.15,CW,
SCT4C3,Y,5.04,CW,
SCT4C4,Y,4.99,CW,
SCT4A5,Y,4.981,CW,
SCT4A6,Y,4.913,CW,
SCT4A7,Y,5.072,CW,
SCT4A8,Y,5.047,CW,
SCT4B5,Y,5.157,CW,
SCT4B6,Y,5.146,CW,
SCT4B7,Y,5.062,CW,
SCT4B8,Y,4.963,CW,
SCT4C5,Y,4.912,CW,
SCT4C6,Y,5.159,CW,
SCT4C7,Y,5.004,CW,
SCT4C8,Y,5.09,CW,
GOT4A1,Y,4.98,KW,
GOT4A2,Y,5.04,KH,
GOT4A3,Y,5.2,KW,
GOT4A4,Y,5.03,KW,
GOT4B1,Y,5.26,KH,
GOT4B2,Y,4.98,KH,
GOT4B3,Y,5.01,KW,
GOT4B4,Y,4.89,KH,
GOT4C1,Y,5,KH,
GOT4C2,Y,4.95,KH,
GOT4C3,Y,5,KH,
GOT4C4,Y,4.94,KH,
GOT4A5,Y,4.95,KH,
GOT4A6,Y,5.08,KW,
GOT4A7,Y,5.02,KW,
GOT4A8,Y,4.94,KH,
GOT4B5,Y,5.1,KH,
GOT4B6,Y,5.07,KH,
GOT4B7,Y,4.98,KH,
GOT4B8,Y,4.85,KH,
GOT4C5,Y,5.01,KH,
GOT4C6,Y,4.99,KW,
GOT4C7,Y,4.9,KH,
GOT4C8,Y,5.04,KW,
GCT4A1,Y,5.149,CW,
GCT4A2,Y,5.018,CW,(already subtracted) -0.056g because one strand of grass left behind
GCT4A3,Y,4.939,CW,
GCT4A4,Y,5.069,CW,
GCT4B1,Y,5.092,CW,
GCT4B2,Y,5.017,CW,
GCT4B3,Y,5.054,CW,
GCT4B4,Y,5.131,CW,
GCT4C1,Y,5.024,CW,
GCT4C2,Y,4.987,CW,
GCT4C3,Y,4.965,CW,
GCT4C4,Y,5.066,CW,
GCT4A5,Y,5.113,CW,
GCT4A6,Y,4.996,CW,
GCT4A7,Y,5.141,CW,
GCT4A8,Y,5.083,CW,
GCT4B5,Y,4.991,CW,
GCT4B6,Y,5.03,CW,
GCT4B7,Y,5.028,CW,
GCT4B8,Y,4.997,CW,
GCT4C5,Y,5.065,CW,
GCT4C6,Y,4.977,CW,
GCT4C7,Y,5.02,CW,
GCT4C8,Y,,,not made because not enough nylon
