SampleID,Dry Envelope + Litter (g),Notes
GCT2A1,2.5223,
GCT2A2,2.6833,
GCT2A3,2.6622,
GCT2A4,2.7997,
GCT2A5,2.7876,
GCT2A7,2.6272,
GCT2A8,2.5239,
GCT2B1,2.5899,
GCT2B2,2.7102,
GCT2B3,2.6312,"was originally written ""GCT2BC"" but reassigned to B3 because B3 was missing + I mix up Cs and 3s commonly + the weights agreed with the wet litter + envelope weight recorded by person 2"
GCT2B4,2.6639,
GCT2B5,3.0047,
GCT2B6,2.6966,
GCT2B7,3.0551,
GCT2B8,2.5825,
GCT2C1,2.7223,
GCT2C2,2.6299,
GCT2C3,2.6722,
GCT2C4,2.7672,
GCT2C5,2.9051,
GCT2C6,2.7528,
GCT2C7,2.548,
GCT2C8,2.9167,
GOT2A1,2.8967,
GOT2A2,2.8408,
GOT2A3,2.6475,
GOT2A4,2.7931,
GOT2A5,2.7843,
GOT2A6,2.6272,
GOT2A7,2.6835,
GOT2A8,2.6468,
GOT2B1,2.9771,
GOT2B2,2.6765,
GOT2B3,3.1263,
GOT2B4,3.0902,
GOT2B5,2.6782,
GOT2B6,2.5608,
GOT2B7,2.8635,
GOT2B8,2.5059,
GOT2C1,2.6029,
GOT2C2,2.7564,
GOT2C3,2.8538,
GOT2C4,2.777,
GOT2C5,2.675,
GOT2C6,3.2705,
GOT2C7,2.7755,
GOT2C8,2.4891,
SCT2A1,2.6067,
SCT2A2,2.7145,
SCT2A3,2.6995,
SCT2A4,2.6309,
SCT2A5,2.696,
SCT2A6,2.8016,
SCT2A7,2.6271,
SCT2A8,2.4863,
SCT2B1,2.485,
SCT2B2,2.968,"was originally recorded as ""SCT2B2"" but based on lighter wet litter + envelope weight recorded by person 2 was reassigned to B2 for which the entry was missing"
SCT2B3,2.697,
SCT2B4,2.9067,
SCT2B5,3.0001,
SCT2B6,2.9003,
SCT2B7,2.4952,
SCT2B8,2.7279,
SCT2C1,3.0641,
SCT2C2,3.0716,
SCT2C3,2.6104,
SCT2C4,2.5114,
SCT2C5,2.6295,
SCT2C6,3.0134,
SCT2C7,3.2511,
SCT2C8,2.9596,
SOT2A1,3.0183,
SOT2A2,2.5495,
SOT2A3,2.5265,
SOT2A4,2.6473,
SOT2A5,2.653,
SOT2A6,2.5368,
SOT2A7,2.6202,
SOT2A8,2.8136,
SOT2B1,2.9698,
SOT2B2,2.746,
SOT2B3,2.7452,
SOT2B4,2.6304,
SOT2B5,2.6219,
SOT2B6,2.9599,
SOT2B7,3.058,
SOT2B8,3.0457,
SOT2C1,2.8819,
SOT2C2,2.562,
SOT2C3,3.0887,
SOT2C4,2.8141,
SOT2C5,2.6419,
SOT2C6,2.9856,
SOT2C7,2.5391,
SOT2C8,2.645,
