Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count
24,T1______7_1_20,25 1:2,3224,7/1/2020 4:39:01 PM,1338,26635,20.9
24,T1______7_1_20,25,3186,,0,0,0
24,T1______7_1_20,24 1:10,3187,7/1/2020 4:40:20 PM,1395,27766,12.4
24,T1______7_1_20,24 1:20,3249,7/1/2020 4:41:48 PM,682,26771,8.44
24,T1______7_1_20,24,3188,,0,0,0
24,T1______7_1_20,23 1:10,3194,7/1/2020 4:43:26 PM,319,6371,37.9
24,T1______7_1_20,23,3195,,0,0,0
24,T1______7_1_20,22 1:10,3196,7/1/2020 4:44:40 PM,990,19726,26.5
24,T1______7_1_20,22,3197,,0,0,0
24,T1______7_1_20,21 1:10,3198,7/1/2020 4:46:14 PM,557,11123,0.7
24,T1______7_1_20,21 1:5,3250,7/1/2020 4:48:12 PM,1230,24511,7.05
24,T1______7_1_20,21 1:5(1),3251,7/1/2020 4:49:21 PM,1402,83789,6.8
24,T1______7_1_20,21,3199,,0,0,0
24,T1______7_1_20,20 1:10,3200,7/1/2020 4:51:44 PM,3164,62676,43.1
24,T1______7_1_20,20 1:20,3252,7/1/2020 4:53:00 PM,1564,31135,24.7
24,T1______7_1_20,20,3201,,0,0,0
24,T1______7_1_20,19 1:10,3202,7/1/2020 4:54:10 PM,5778,113538,7.25
24,T1______7_1_20,19 1:50,3253,7/1/2020 4:56:07 PM,1079,21501,3.4
24,T1______7_1_20,19 1:50(1),3254,7/1/2020 4:57:19 PM,956,57215,2.13
24,T1______7_1_20,19,3203,,0,0,0
24,T1______7_1_20,18 1:10,3204,7/1/2020 4:59:39 PM,527,10516,6.45
24,T1______7_1_20,18 1:10(1),3255,7/1/2020 5:00:49 PM,550,33,0
24,T1______7_1_20,18 1:10(2),3256,7/1/2020 5:01:30 PM,525,20601,5.49
24,T1______7_1_20,17 1:10,3206,7/1/2020 5:03:08 PM,732,14602,14.6
24,T1______7_1_20,16 1:10,3208,7/1/2020 5:04:18 PM,169,3388,0.15
24,T1______7_1_20,16,3209,7/1/2020 5:05:28 PM,724,14457,1.15
24,T1______7_1_20,15 1:10,3210,7/1/2020 5:06:38 PM,523,10432,2.9
24,T1______7_1_20,15 1:2,3259,7/1/2020 5:07:49 PM,2424,48088,36
24,T1______7_1_20,15 1:5,3260,7/1/2020 5:10:19 PM,1037,20664,15.4
24,T1______7_1_20,14 1:10,3212,7/1/2020 5:09:09 PM,534,10652,3.75
24,T1______7_1_20,14 1:10(1),3261,7/1/2020 5:11:54 PM,537,32150,5.3
24,T1______7_1_20,14 1:5,3262,7/1/2020 5:14:03 PM,1169,23297,7.8
24,T1______7_1_20,13 1:10,3214,7/1/2020 5:15:19 PM,403,8042,4.15
24,T1______7_1_20,13 1:5,3263,7/1/2020 5:16:28 PM,721,14387,8.85
24,T1______7_1_20,13,3215,,0,0,0
24,T1______7_1_20,12 1:10,3216,7/1/2020 5:17:37 PM,390,7791,1.45
24,T1______7_1_20,12,3217,,0,0,0
24,T1______7_1_20,12 1:5,3264,7/1/2020 5:18:47 PM,814,16230,6.55
24,T1______7_1_20,11 1:10,3225,7/1/2020 5:19:55 PM,220,4398,17.7
24,T1______7_1_20,11,3226,,0,0,0
24,T1______7_1_20,10 1:10,3227,7/1/2020 5:21:12 PM,287,5723,34.6
24,T1______7_1_20,10,3228,,0,0,0
24,T1______7_1_20,9 1:10,3229,7/1/2020 5:22:31 PM,565,11292,4.55
24,T1______7_1_20,9,3230,,0,0,0
24,T1______7_1_20,9 1:5,3265,7/1/2020 5:24:11 PM,1195,23821,9.9
24,T1______7_1_20,8 1:10,3231,7/1/2020 5:25:21 PM,603,12032,9.75
24,T1______7_1_20,8,3232,,0,0,0
24,T1______7_1_20,8 1:5,3266,7/1/2020 5:27:09 PM,1010,20157,16.7
24,T1______7_1_20,7 1:10,3233,7/1/2020 5:28:19 PM,226,4508,0.25
24,T1______7_1_20,7,3234,,0,0,0
24,T1______7_1_20,7 1:2,3267,7/1/2020 5:30:05 PM,738,14720,0.8
24,T1______7_1_20,6 1:10,3235,7/1/2020 5:31:23 PM,325,6499,7.65
24,T1______7_1_20,6,3236,,0,0,0
24,T1______7_1_20,6 1:5,3268,7/1/2020 5:32:34 PM,507,10126,13.4
24,T1______7_1_20,5 1:10,3237,7/1/2020 5:33:42 PM,151,3012,0.85
24,T1______7_1_20,5,3238,7/1/2020 5:35:45 PM,593,11840,0.4
24,T1______7_1_20,5 1:5,3269,7/1/2020 5:34:52 PM,156,1419,0.329
24,T1______7_1_20,5 1:10(1),3271,7/1/2020 5:41:42 PM,179,6734,0.451
24,T1______7_1_20,4 1:10,3239,7/1/2020 5:36:55 PM,378,7541,0.8
24,T1______7_1_20,4,3240,,0,0,0
24,T1______7_1_20,4 1:5,3270,7/1/2020 5:38:06 PM,586,11706,10.3
24,T1______7_1_20,3 1:10,3241,7/1/2020 5:39:16 PM,1247,24844,13.8
24,T1______7_1_20,3,3242,,0,0,0
24,T1______7_1_20,2 1:10,3243,7/1/2020 5:40:30 PM,213,4251,0.55
24,T1______7_1_20,2,3244,7/1/2020 5:43:20 PM,1226,24425,0.6
24,T1______7_1_20,1 1:10,3245,7/1/2020 5:44:30 PM,890,17752,2.65
24,T1______7_1_20,1 1:10(1),3272,7/1/2020 5:45:40 PM,954,57109,4.03
25,T2_____7_15_20,unstained_GTA,3273,7/15/2020 4:05:42 PM,1.1,22,0.05
25,T2_____7_15_20,n1,3277,7/15/2020 4:06:53 PM,961,33714,0.284
25,T2_____7_15_20,n2,3276,7/15/2020 4:08:31 PM,372,7408,0.7
25,T2_____7_15_20,n3,3275,7/15/2020 4:09:43 PM,760,15149,1.95
25,T2_____7_15_20,n4,3274,7/15/2020 4:10:58 PM,826,16465,2.6
25,T2_____7_15_20,n5,3278,7/15/2020 4:12:12 PM,247,4931,0.35
25,T2_____7_15_20,n1(1),3381,7/15/2020 4:13:21 PM,240,4935,0.292
25,T2_____7_15_20,37 1:10,3280,7/15/2020 4:14:39 PM,2140,42516,15
25,T2_____7_15_20,38 1:10,3282,7/15/2020 4:15:53 PM,222,4431,2.1
25,T2_____7_15_20,38,3283,7/15/2020 4:19:27 PM,641,12800,0.8
25,T2_____7_15_20,39 1:10,3284,7/15/2020 4:20:37 PM,368,7341,0.3
25,T2_____7_15_20,39 1:10(1),3382,7/15/2020 4:23:56 PM,376,14388,0.156
25,T2_____7_15_20,39,3285,7/15/2020 4:22:13 PM,2170,80807,2.51
25,T2_____7_15_20,40 1:10,3293,7/15/2020 4:25:38 PM,473,9448,0.4
25,T2_____7_15_20,40 1:5,3383,7/15/2020 4:26:57 PM,441,8810,0.3
25,T2_____7_15_20,40,3286,7/15/2020 4:28:06 PM,1190,23705,1.7
25,T2_____7_15_20,41 1:10,3288,7/15/2020 4:29:15 PM,2401,47692,15
25,T2_____7_15_20,41 1:20,3384,7/15/2020 4:31:44 PM,1219,24291,7.1
25,T2_____7_15_20,42 1:10,3290,7/15/2020 4:32:53 PM,342,6829,20.8
25,T2_____7_15_20,43 1:10,3292,7/15/2020 4:34:40 PM,437,8735,0.85
25,T2_____7_15_20,43 1:5,3385,7/15/2020 4:36:37 PM,1635,32538,8.9
25,T2_____7_15_20,45 1:10,3297,7/15/2020 4:38:04 PM,501,10000,10.9
25,T2_____7_15_20,46 1:10,3301,7/15/2020 4:39:36 PM,425,8491,10.7
25,T2_____7_15_20,47 1:20,3386,7/15/2020 4:42:53 PM,889,17724,7.25
25,T2_____7_15_20,47 1:10,3303,7/15/2020 4:41:14 PM,1663,33079,11.3
25,T2_____7_15_20,48 1:10,3305,7/15/2020 4:44:44 PM,736,14705,9.5
25,T2_____7_15_20,49 1:20,3387,7/15/2020 4:47:49 PM,1635,32550,6.05
25,T2_____7_15_20,49 1:10,3307,7/15/2020 4:45:54 PM,3292,65207,11.7
25,T2_____7_15_20,50  1:20,3388,7/15/2020 4:51:03 PM,1406,28033,10.3
25,T2_____7_15_20,50  1:10,3310,7/15/2020 4:49:15 PM,2880,57114,22.1
25,T2_____7_15_20,51 1:10,3313,7/15/2020 4:52:25 PM,1916,38094,3.55
25,T2_____7_15_20,51 1:20,3389,7/15/2020 4:54:40 PM,995,19851,2.05
25,T2_____7_15_20,51 1:20(1),3390,7/15/2020 4:55:55 PM,1049,56581,3.38
25,T2_____7_15_20,52 1:10,3316,7/15/2020 4:59:19 PM,3104,61576,86.2
25,T2_____7_15_20,52 1:50,3391,7/15/2020 5:01:19 PM,687,13705,18.3
25,T2_____7_15_20,53 1:10,3318,7/15/2020 4:58:09 PM,196,3925,0.2
25,T2_____7_15_20,54 1:10,3321,7/15/2020 5:02:30 PM,455,9096,2.3
25,T2_____7_15_20,54 1:5,3392,7/15/2020 5:04:19 PM,463,9247,7.25
25,T2_____7_15_20,55 1:10,3324,7/15/2020 5:05:46 PM,1790,35619,22.8
25,T2_____7_15_20,55 1:20,3393,7/15/2020 5:07:01 PM,935,18668,12.1
25,T2_____7_15_20,56 1:10,3328,7/15/2020 5:08:22 PM,249,4977,0.25
25,T2_____7_15_20,56,3325,7/15/2020 5:09:32 PM,948,18879,0.55
25,T2_____7_15_20,57 1:20,3394,7/15/2020 5:12:12 PM,930,18544,4.4
25,T2_____7_15_20,57 1:10,3332,7/15/2020 5:10:41 PM,1955,38885,9.7
25,T2_____7_15_20,58 1:10,3334,7/15/2020 5:13:21 PM,1520,30244,74.2
